ocel_id;ocel_type
14482_enter_Loading Bay_vh1;Enter Location
14483_enter_Forklift Depot_fl1;Enter Location
14484_enter_Forklift Depot_fl3;Enter Location
14485_enter_Forklift Depot_fl2;Enter Location
14486_enter_Loading Bay_vh2;Enter Location
14487_enter_Loading Bay_vh3;Enter Location
14488_enter_Loading Bay_vh4;Enter Location
14489_enter_Loading Bay_vh5;Enter Location
14490_enter_Loading Bay_vh6;Enter Location
14491_enter_Loading Bay_vh7;Enter Location
14492_enter_Loading Bay_vh8;Enter Location
reg_co1;Register Customer Order
create_td1;Create Transport Document
reg_co2;Register Customer Order
book_vehs_td1;Book Vehicles
14493_enter_Loading Bay_vh9;Enter Location
order_crs_td1;Order Empty Containers
reg_co3;Register Customer Order
reg_co4;Register Customer Order
pick_cr5_start;Pick Up Empty Container
collect_hu1_complete;Collect Goods
14494_leave_Truck Depot_tr2;Leave Location
collect_hu2_complete;Collect Goods
14495_enter_Supplier_tr2;Enter Location
14496_leave_Supplier_tr2;Leave Location
pick_cr5_complete;Pick Up Empty Container
14497_enter_Supplier Loading Area_tr2;Enter Location
14498_enter_Supplier Loading Area_cr5;Enter Location
load_truck_hu2_complete;Load Truck
load_truck_hu1_complete;Load Truck
drive_term_cr5_start;Drive to Terminal
14499_leave_Supplier Loading Area_tr2;Leave Location
14500_leave_Supplier Loading Area_cr5;Leave Location
arr_notice_cr5;Send Truck Arrival Notice
14501_enter_Terminal South_tr2;Enter Location
14502_enter_Terminal South_cr5;Enter Location
drive_term_cr5_complete;Drive to Terminal
unload_truck_cr5_assign;Unload Truck
14503_leave_Forklift Depot_fl1;Leave Location
14504_enter_Terminal South_fl1;Enter Location
unload_truck_cr5_start;Unload Truck
unload_truck_cr5_complete;Unload Truck
weigh_cr5_start;Weigh
14505_leave_Terminal South_tr2;Leave Location
14506_enter_Truck Depot_tr2;Enter Location
weigh_cr5_complete;Weigh
to_bay_cr5_start;Bring to Loading Bay
14507_leave_Terminal South_fl1;Leave Location
14508_leave_Terminal South_cr5;Leave Location
14509_enter_Loading Bay_fl1;Enter Location
14510_enter_Loading Bay_cr5;Enter Location
to_bay_cr5_complete;Bring to Loading Bay
load_veh_cr5_vh5_start;Load to Vehicle
load_veh_cr5_vh5_complete;Load to Vehicle
reg_co5;Register Customer Order
reg_co6;Register Customer Order
create_td2;Create Transport Document
create_td3;Create Transport Document
book_vehs_td2;Book Vehicles
order_crs_td2;Order Empty Containers
pick_cr6_start;Pick Up Empty Container
collect_hu6_complete;Collect Goods
14511_leave_Truck Depot_tr2;Leave Location
14512_enter_Supplier_tr2;Enter Location
pick_cr6_complete;Pick Up Empty Container
14513_leave_Supplier_tr2;Leave Location
collect_hu4_complete;Collect Goods
book_vehs_td3;Book Vehicles
collect_hu7_complete;Collect Goods
order_crs_td3;Order Empty Containers
14514_enter_Supplier Loading Area_tr2;Enter Location
14515_enter_Supplier Loading Area_cr6;Enter Location
load_truck_hu4_complete;Load Truck
reg_co7;Register Customer Order
load_truck_hu6_complete;Load Truck
pick_cr7_start;Pick Up Empty Container
14516_leave_Truck Depot_tr4;Leave Location
collect_hu14_complete;Collect Goods
load_truck_hu7_complete;Load Truck
