ocel_id;ocel_time;lifecycle;instance_id
book_vehs_td1;2023-05-23 09:39:33;complete;td-td1
book_vehs_td2;2023-05-25 11:01:05;complete;td-td2
book_vehs_td3;2023-05-25 12:06:29;complete;td-td3
book_vehs_td4;2023-05-26 14:42:07;complete;td-td4
book_vehs_td5;2023-05-29 10:58:38;complete;td-td5
book_vehs_td6;2023-05-29 13:18:22;complete;td-td6
book_vehs_td7;2023-05-29 16:28:34;complete;td-td7
book_vehs_td8;2023-05-30 09:35:22;complete;td-td8
book_vehs_td9;2023-05-31 07:48:12;complete;td-td9
book_vehs_td10;2023-05-31 09:31:19;complete;td-td10
book_vehs_td11;2023-05-31 11:43:56;complete;td-td11
book_vehs_td13;2023-05-31 14:50:41;complete;td-td13
book_vehs_td12;2023-05-31 15:17:34;complete;td-td12
book_vehs_td14;2023-06-02 13:59:23;complete;td-td14
book_vehs_td15;2023-06-02 16:49:00;complete;td-td15
book_vehs_td16;2023-06-05 13:56:12;complete;td-td16
book_vehs_td17;2023-06-05 15:18:02;complete;td-td17
book_vehs_td18;2023-06-07 08:57:45;complete;td-td18
book_vehs_td19;2023-06-08 15:14:16;complete;td-td19
book_vehs_td20;2023-06-08 16:03:55;complete;td-td20
book_vehs_td21;2023-06-09 11:53:21;complete;td-td21
book_vehs_td22;2023-06-12 09:21:14;complete;td-td22
book_vehs_td23;2023-06-12 10:37:34;complete;td-td23
book_vehs_td24;2023-06-12 14:43:16;complete;td-td24
book_vehs_td25;2023-06-13 11:43:06;complete;td-td25
book_vehs_td26;2023-06-13 11:59:12;complete;td-td26
book_vehs_td27;2023-06-13 14:57:50;complete;td-td27
book_vehs_td28;2023-06-14 16:16:09;complete;td-td28
book_vehs_td29;2023-06-15 12:27:51;complete;td-td29
book_vehs_td30;2023-06-16 10:28:02;complete;td-td30
book_vehs_td31;2023-06-16 11:46:10;complete;td-td31
book_vehs_td32;2023-06-16 15:07:11;complete;td-td32
book_vehs_td33;2023-06-19 07:39:13;complete;td-td33
book_vehs_td34;2023-06-19 09:08:10;complete;td-td34
book_vehs_td35;2023-06-21 10:55:34;complete;td-td35
book_vehs_td36;2023-06-21 11:51:28;complete;td-td36
book_vehs_td37;2023-06-21 15:44:17;complete;td-td37
book_vehs_td38;2023-06-22 10:53:28;complete;td-td38
book_vehs_td39;2023-06-23 09:23:00;complete;td-td39
book_vehs_td40;2023-06-23 18:28:11;complete;td-td40
book_vehs_td41;2023-06-26 09:59:50;complete;td-td41
book_vehs_td42;2023-06-26 17:34:03;complete;td-td42
book_vehs_td43;2023-06-27 09:26:24;complete;td-td43
book_vehs_td44;2023-06-27 15:21:22;complete;td-td44
book_vehs_td45;2023-06-27 15:47:25;complete;td-td45
book_vehs_td46;2023-06-28 09:51:05;complete;td-td46
book_vehs_td47;2023-06-29 08:53:11;complete;td-td47
book_vehs_td48;2023-06-29 14:40:15;complete;td-td48
book_vehs_td49;2023-07-03 07:36:14;complete;td-td49
book_vehs_td50;2023-07-03 12:06:30;complete;td-td50
book_vehs_td51;2023-07-03 16:18:46;complete;td-td51
book_vehs_td52;2023-07-03 16:38:23;complete;td-td52
book_vehs_td53;2023-07-04 09:30:19;complete;td-td53
book_vehs_td54;2023-07-04 11:58:28;complete;td-td54
book_vehs_td55;2023-07-05 07:44:13;complete;td-td55
book_vehs_td56;2023-07-05 16:42:13;complete;td-td56
book_vehs_td57;2023-07-06 10:56:32;complete;td-td57
book_vehs_td58;2023-07-06 12:40:32;complete;td-td58
book_vehs_td59;2023-07-06 13:52:00;complete;td-td59
book_vehs_td60;2023-07-07 16:21:55;complete;td-td60
book_vehs_td62;2023-07-10 15:50:54;complete;td-td62
book_vehs_td61;2023-07-10 15:57:52;complete;td-td61
book_vehs_td63;2023-07-11 09:50:39;complete;td-td63
book_vehs_td64;2023-07-11 14:15:21;complete;td-td64
book_vehs_td65;2023-07-11 14:32:26;complete;td-td65
book_vehs_td66;2023-07-12 15:41:26;complete;td-td66
book_vehs_td67;2023-07-13 09:35:26;complete;td-td67
