ocel_id;ocel_time;lifecycle;instance_id
to_bay_cr5_start;2023-05-24 09:42:47;start;td-td1_cr-cr5
to_bay_cr5_complete;2023-05-24 09:47:16;complete;td-td1_cr-cr5
to_bay_cr6_start;2023-05-25 16:34:34;start;td-td2_cr-cr6
to_bay_cr6_complete;2023-05-25 16:36:27;complete;td-td2_cr-cr6
to_bay_cr7_start;2023-05-25 16:57:04;start;td-td2_cr-cr7
to_bay_cr7_complete;2023-05-25 17:59:16;complete;td-td2_cr-cr7
to_bay_cr13_start;2023-05-29 15:35:10;start;td-td3_cr-cr13
to_bay_cr13_complete;2023-05-29 15:42:11;complete;td-td3_cr-cr13
to_bay_cr9_start;2023-05-29 16:46:15;start;td-td2_cr-cr9
to_bay_cr9_complete;2023-05-29 16:56:51;complete;td-td2_cr-cr9
to_bay_cr29_start;2023-05-31 23:37:22;start;td-td8_cr-cr29
to_bay_cr30_start;2023-05-31 23:37:22;start;td-td8_cr-cr30
to_bay_cr29_complete;2023-06-01 07:40:49;complete;td-td8_cr-cr29
to_bay_cr30_complete;2023-06-01 07:43:15;complete;td-td8_cr-cr30
to_bay_cr41_start;2023-06-01 07:46:21;start;td-td11_cr-cr41
to_bay_cr41_complete;2023-06-01 07:50:52;complete;td-td11_cr-cr41
to_bay_cr43_start;2023-06-01 10:57:12;start;td-td12_cr-cr43
to_bay_cr43_complete;2023-06-01 11:58:25;complete;td-td12_cr-cr43
to_bay_cr35_start;2023-06-01 13:32:27;start;td-td10_cr-cr35
to_bay_cr35_complete;2023-06-01 13:39:17;complete;td-td10_cr-cr35
to_bay_cr34_start;2023-06-02 09:58:13;start;td-td9_cr-cr34
to_bay_cr34_complete;2023-06-02 11:00:07;complete;td-td9_cr-cr34
to_bay_cr48_start;2023-06-02 16:26:42;start;td-td13_cr-cr48
to_bay_cr48_complete;2023-06-02 16:28:38;complete;td-td13_cr-cr48
to_bay_cr11_start;2023-06-05 04:44:51;start;td-td3_cr-cr11
