ocel_id;ocel_time;lifecycle;instance_id
collect_hu1_complete;2023-05-23 22:44:33;complete;cr-cr5
collect_hu2_complete;2023-05-24 07:50:36;complete;cr-cr5
collect_hu6_complete;2023-05-25 11:52:51;complete;cr-cr6
collect_hu4_complete;2023-05-25 11:57:48;complete;cr-cr6
collect_hu7_complete;2023-05-25 13:59:17;complete;cr-cr6
collect_hu14_complete;2023-05-25 15:01:28;complete;cr-cr7
collect_hu11_complete;2023-05-25 15:02:26;complete;cr-cr7
collect_hu5_complete;2023-05-25 15:05:08;complete;cr-cr6
collect_hu10_complete;2023-05-25 15:12:29;complete;cr-cr7
collect_hu3_complete;2023-05-25 15:14:09;complete;cr-cr6
collect_hu8_complete;2023-05-25 15:17:37;complete;cr-cr6
collect_hu12_complete;2023-05-25 15:19:18;complete;cr-cr7
collect_hu13_complete;2023-05-25 15:20:39;complete;cr-cr7
collect_hu9_complete;2023-05-25 15:25:20;complete;cr-cr7
collect_hu17_complete;2023-05-28 01:46:10;complete;cr-cr9
collect_hu20_complete;2023-05-29 07:51:17;complete;cr-cr9
collect_hu34_complete;2023-05-29 08:53:09;complete;cr-cr12
collect_hu32_complete;2023-05-29 08:54:59;complete;cr-cr16
collect_hu37_complete;2023-05-29 09:57:10;complete;cr-cr12
collect_hu25_complete;2023-05-29 10:58:42;complete;cr-cr13
collect_hu15_complete;2023-05-29 12:00:31;complete;cr-cr9
collect_hu18_complete;2023-05-29 13:02:46;complete;cr-cr9
collect_hu35_complete;2023-05-29 13:07:54;complete;cr-cr12
collect_hu28_complete;2023-05-29 13:11:38;complete;cr-cr16
collect_hu33_complete;2023-05-29 13:16:23;complete;cr-cr12
collect_hu36_complete;2023-05-29 13:19:36;complete;cr-cr12
collect_hu24_complete;2023-05-29 13:20:59;complete;cr-cr13
collect_hu31_complete;2023-05-29 13:26:49;complete;cr-cr16
collect_hu21_complete;2023-05-29 13:28:36;complete;cr-cr13
collect_hu19_complete;2023-05-29 13:37:10;complete;cr-cr9
collect_hu29_complete;2023-05-29 13:38:20;complete;cr-cr16
collect_hu26_complete;2023-05-29 13:39:08;complete;cr-cr13
collect_hu22_complete;2023-05-29 13:42:24;complete;cr-cr13
collect_hu38_complete;2023-05-29 13:45:38;complete;cr-cr12
collect_hu30_complete;2023-05-29 13:47:12;complete;cr-cr16
collect_hu23_complete;2023-05-29 13:48:08;complete;cr-cr13
collect_hu27_complete;2023-05-29 13:51:49;complete;cr-cr16
collect_hu16_complete;2023-05-29 13:54:49;complete;cr-cr9
collect_hu39_complete;2023-05-29 17:09:25;complete;cr-cr18
collect_hu40_complete;2023-05-29 17:18:36;complete;cr-cr18
collect_hu44_complete;2023-05-29 23:27:23;complete;cr-cr14
collect_hu41_complete;2023-05-30 07:37:19;complete;cr-cr14
collect_hu46_complete;2023-05-30 07:42:05;complete;cr-cr14
collect_hu43_complete;2023-05-30 07:45:09;complete;cr-cr14
collect_hu42_complete;2023-05-30 07:46:48;complete;cr-cr14
collect_hu45_complete;2023-05-30 07:48:54;complete;cr-cr14
collect_hu51_complete;2023-05-30 09:12:34;complete;cr-cr10
collect_hu49_complete;2023-05-30 09:14:13;complete;cr-cr10
collect_hu47_complete;2023-05-30 09:17:33;complete;cr-cr10
collect_hu48_complete;2023-05-30 09:18:44;complete;cr-cr10
collect_hu50_complete;2023-05-30 09:21:21;complete;cr-cr10
collect_hu52_complete;2023-05-30 09:21:55;complete;cr-cr10
collect_hu56_complete;2023-05-30 12:17:00;complete;cr-cr29
collect_hu58_complete;2023-05-30 13:24:30;complete;cr-cr29
collect_hu57_complete;2023-05-30 13:30:08;complete;cr-cr29
collect_hu55_complete;2023-05-30 13:32:49;complete;cr-cr29
collect_hu60_complete;2023-05-30 13:42:43;complete;cr-cr30
collect_hu53_complete;2023-05-30 13:48:15;complete;cr-cr29
collect_hu61_complete;2023-05-30 13:55:37;complete;cr-cr30
collect_hu63_complete;2023-05-30 13:58:32;complete;cr-cr30
collect_hu62_complete;2023-05-30 15:02:01;complete;cr-cr30
collect_hu54_complete;2023-05-30 15:05:12;complete;cr-cr29
collect_hu59_complete;2023-05-30 15:06:35;complete;cr-cr30
collect_hu65_complete;2023-05-30 18:19:10;complete;cr-cr19
collect_hu64_complete;2023-05-30 18:24:15;complete;cr-cr19
collect_hu66_complete;2023-05-30 18:38:08;complete;cr-cr19
collect_hu69_complete;2023-05-30 18:45:22;complete;cr-cr19
collect_hu68_complete;2023-05-30 18:58:41;complete;cr-cr19
collect_hu73_complete;2023-05-31 08:08:12;complete;cr-cr4
collect_hu72_complete;2023-05-31 08:09:34;complete;cr-cr4
collect_hu67_complete;2023-05-31 08:11:39;complete;cr-cr19
collect_hu75_complete;2023-05-31 08:17:53;complete;cr-cr4
collect_hu70_complete;2023-05-31 08:22:24;complete;cr-cr4
collect_hu74_complete;2023-05-31 08:33:03;complete;cr-cr4
collect_hu71_complete;2023-05-31 08:39:19;complete;cr-cr4
collect_hu76_complete;2023-05-31 15:12:07;complete;cr-cr41
collect_hu78_complete;2023-05-31 15:12:55;complete;cr-cr41
collect_hu79_complete;2023-05-31 15:17:27;complete;cr-cr41
collect_hu77_complete;2023-05-31 15:24:43;complete;cr-cr41
collect_hu82_complete;2023-05-31 16:21:40;complete;cr-cr43
collect_hu84_complete;2023-05-31 16:23:18;complete;cr-cr43
collect_hu83_complete;2023-05-31 16:27:22;complete;cr-cr43
collect_hu85_complete;2023-05-31 16:35:08;complete;cr-cr43
collect_hu80_complete;2023-05-31 16:42:31;complete;cr-cr43
collect_hu81_complete;2023-05-31 16:49:22;complete;cr-cr43
collect_hu91_complete;2023-05-31 18:46:09;complete;cr-cr2
