ocel_id;ocel_time;lifecycle;instance_id
create_td1;2023-05-22 17:41:17;complete;co-co1_td-td1
create_td2;2023-05-25 09:52:08;complete;co-co3_td-td2
create_td3;2023-05-25 10:10:23;complete;co-co2_td-td3
create_td4;2023-05-26 14:10:33;complete;co-co4_td-td4
create_td5;2023-05-29 09:55:54;complete;co-co6_td-td5
create_td6;2023-05-29 12:04:17;complete;co-co5_td-td6
create_td7;2023-05-29 14:23:43;complete;co-co9_td-td7
create_td8;2023-05-30 09:07:50;complete;co-co11_td-td8
create_td9;2023-05-30 17:03:16;complete;co-co7_td-td9
create_td10;2023-05-30 17:22:27;complete;co-co8_td-td10
create_td11;2023-05-31 11:27:53;complete;co-co12_td-td11
create_td12;2023-05-31 14:17:30;complete;co-co10_td-td12
create_td13;2023-05-31 14:45:24;complete;co-co13_td-td13
create_td14;2023-06-02 12:17:25;complete;co-co16_td-td14
create_td15;2023-06-02 14:53:36;complete;co-co15_td-td15
create_td16;2023-06-05 11:55:03;complete;co-co14_td-td16
create_td17;2023-06-05 14:10:39;complete;co-co19_td-td17
create_td18;2023-06-06 17:36:33;complete;co-co20_td-td18
create_td19;2023-06-08 11:35:33;complete;co-co18_td-td19
create_td20;2023-06-08 14:51:39;complete;co-co17_td-td20
create_td21;2023-06-09 09:14:59;complete;co-co23_td-td21
create_td22;2023-06-09 17:19:04;complete;co-co27_td-td22
create_td23;2023-06-12 08:51:22;complete;co-co25_td-td23
create_td24;2023-06-12 14:24:37;complete;co-co26_td-td24
create_td25;2023-06-13 11:31:07;complete;co-co22_td-td25
create_td26;2023-06-13 11:33:51;complete;co-co28_td-td26
create_td27;2023-06-13 14:26:48;complete;co-co21_td-td27
create_td28;2023-06-14 14:23:15;complete;co-co24_td-td28
create_td29;2023-06-15 10:29:43;complete;co-co32_td-td29
create_td30;2023-06-16 08:41:08;complete;co-co31_td-td30
create_td31;2023-06-16 11:18:26;complete;co-co30_td-td31
create_td32;2023-06-16 13:51:23;complete;co-co35_td-td32
create_td33;2023-06-16 17:19:18;complete;co-co29_td-td33
create_td34;2023-06-16 17:31:09;complete;co-co33_td-td34
create_td35;2023-06-21 09:48:57;complete;co-co40_td-td35
create_td36;2023-06-21 10:17:33;complete;co-co34_td-td36
create_td37;2023-06-21 14:42:27;complete;co-co41_td-td37
create_td38;2023-06-22 10:12:12;complete;co-co42_td-td38
create_td39;2023-06-22 17:47:40;complete;co-co36_td-td39
create_td40;2023-06-23 16:42:11;complete;co-co38_td-td40
create_td41;2023-06-26 09:49:03;complete;co-co39_td-td41
create_td42;2023-06-26 15:37:59;complete;co-co37_td-td42
create_td43;2023-06-27 09:09:08;complete;co-co43_td-td43
create_td44;2023-06-27 11:57:15;complete;co-co47_td-td44
create_td45;2023-06-27 15:27:25;complete;co-co48_td-td45
create_td46;2023-06-27 17:22:07;complete;co-co44_td-td46
create_td47;2023-06-28 18:03:46;complete;co-co49_td-td47
create_td48;2023-06-29 10:48:24;complete;co-co45_td-td48
create_td49;2023-06-30 15:11:48;complete;co-co46_td-td49
create_td50;2023-07-03 09:50:30;complete;co-co54_td-td50
create_td51;2023-07-03 12:37:56;complete;co-co53_td-td51
create_td52;2023-07-03 15:28:35;complete;co-co56_td-td52
create_td53;2023-07-04 08:03:49;complete;co-co51_td-td53
create_td54;2023-07-04 11:39:07;complete;co-co57_td-td54
create_td55;2023-07-04 16:44:06;complete;co-co50_td-td55
create_td56;2023-07-05 15:35:46;complete;co-co52_td-td56
create_td57;2023-07-06 10:38:58;complete;co-co59_td-td57
create_td58;2023-07-06 10:50:22;complete;co-co61_td-td58
