ocel_id;ocel_time;lifecycle;instance_id
depart_vh1_complete;2023-05-30 11:00:00;complete;vh-vh1
depart_vh2_complete;2023-06-02 11:00:00;complete;vh-vh2
depart_vh3_complete;2023-06-06 11:00:00;complete;vh-vh3
depart_vh4_complete;2023-06-09 11:00:00;complete;vh-vh4
depart_vh5_complete;2023-06-13 11:00:00;complete;vh-vh5
depart_vh6_complete;2023-06-16 11:00:00;complete;vh-vh6
depart_vh7_complete;2023-06-20 11:00:00;complete;vh-vh7
depart_vh8_complete;2023-06-23 11:00:00;complete;vh-vh8
depart_vh9_complete;2023-06-27 11:00:00;complete;vh-vh9
depart_vh10_complete;2023-06-30 11:00:00;complete;vh-vh10
depart_vh11_complete;2023-07-04 11:00:00;complete;vh-vh11
depart_vh12_complete;2023-07-07 11:00:00;complete;vh-vh12
depart_vh13_complete;2023-07-11 11:00:00;complete;vh-vh13
depart_vh14_complete;2023-07-14 11:00:00;complete;vh-vh14
depart_vh15_complete;2023-07-18 11:00:00;complete;vh-vh15
depart_vh16_complete;2023-07-21 11:00:00;complete;vh-vh16
depart_vh17_complete;2023-07-25 11:00:00;complete;vh-vh17
depart_vh18_complete;2023-07-28 11:00:00;complete;vh-vh18
depart_vh19_complete;2023-08-01 11:00:00;complete;vh-vh19
depart_vh20_complete;2023-08-04 11:00:00;complete;vh-vh20
depart_vh21_complete;2023-08-08 11:00:00;complete;vh-vh21
depart_vh22_complete;2023-08-11 11:00:00;complete;vh-vh22
depart_vh23_complete;2023-08-15 11:00:00;complete;vh-vh23
depart_vh24_complete;2023-08-18 11:00:00;complete;vh-vh24
depart_vh25_complete;2023-08-22 11:00:00;complete;vh-vh25
depart_vh27_complete;2023-08-29 11:00:00;complete;vh-vh27
depart_vh28_complete;2023-09-01 11:00:00;complete;vh-vh28
