ocel_id;ocel_time;lifecycle;instance_id
drive_term_cr5_start;2023-05-24 09:30:12;start;td-td1_cr-cr5
drive_term_cr5_complete;2023-05-24 09:40:38;complete;td-td1_cr-cr5
drive_term_cr6_start;2023-05-25 15:23:21;start;td-td2_cr-cr6
drive_term_cr6_complete;2023-05-25 16:27:40;complete;td-td2_cr-cr6
drive_term_cr7_start;2023-05-25 16:43:20;start;td-td2_cr-cr7
drive_term_cr7_complete;2023-05-25 16:55:25;complete;td-td2_cr-cr7
drive_term_cr12_start;2023-05-29 13:51:19;start;td-td3_cr-cr12
drive_term_cr13_start;2023-05-29 13:53:18;start;td-td3_cr-cr13
drive_term_cr16_start;2023-05-29 13:59:09;start;td-td4_cr-cr16
drive_term_cr9_start;2023-05-29 14:59:31;start;td-td2_cr-cr9
drive_term_cr16_complete;2023-05-29 15:09:24;complete;td-td4_cr-cr16
drive_term_cr12_complete;2023-05-29 15:29:11;complete;td-td3_cr-cr12
drive_term_cr13_complete;2023-05-29 15:32:29;complete;td-td3_cr-cr13
drive_term_cr9_complete;2023-05-29 16:43:17;complete;td-td2_cr-cr9
drive_term_cr18_start;2023-05-30 07:59:01;start;td-td4_cr-cr18
drive_term_cr18_complete;2023-05-30 09:17:49;complete;td-td4_cr-cr18
drive_term_cr14_start;2023-05-30 09:40:38;start;td-td3_cr-cr14
drive_term_cr14_complete;2023-05-30 09:50:50;complete;td-td3_cr-cr14
drive_term_cr10_start;2023-05-30 11:19:41;start;td-td2_cr-cr10
drive_term_cr10_complete;2023-05-30 11:29:38;complete;td-td2_cr-cr10
drive_term_cr29_start;2023-05-30 15:07:45;start;td-td8_cr-cr29
drive_term_cr30_start;2023-05-30 15:09:21;start;td-td8_cr-cr30
drive_term_cr30_complete;2023-05-30 15:19:30;complete;td-td8_cr-cr30
drive_term_cr29_complete;2023-05-30 15:47:29;complete;td-td8_cr-cr29
drive_term_cr19_start;2023-05-31 09:57:39;start;td-td5_cr-cr19
drive_term_cr4_start;2023-05-31 10:11:41;start;td-td1_cr-cr4
drive_term_cr4_complete;2023-05-31 10:51:30;complete;td-td1_cr-cr4
drive_term_cr19_complete;2023-05-31 11:05:33;complete;td-td5_cr-cr19
drive_term_cr41_start;2023-05-31 17:24:34;start;td-td11_cr-cr41
drive_term_cr41_complete;2023-05-31 17:58:46;complete;td-td11_cr-cr41
drive_term_cr43_start;2023-06-01 07:47:31;start;td-td12_cr-cr43
drive_term_cr43_complete;2023-06-01 08:55:03;complete;td-td12_cr-cr43
drive_term_cr11_start;2023-06-01 09:47:36;start;td-td3_cr-cr11
drive_term_cr2_start;2023-06-01 09:51:15;start;td-td1_cr-cr2
drive_term_cr11_complete;2023-06-01 09:57:39;complete;td-td3_cr-cr11
drive_term_cr2_complete;2023-06-01 10:52:01;complete;td-td1_cr-cr2
drive_term_cr35_start;2023-06-01 13:18:22;start;td-td10_cr-cr35
drive_term_cr35_complete;2023-06-01 13:30:47;complete;td-td10_cr-cr35
drive_term_cr20_start;2023-06-01 14:00:10;start;td-td5_cr-cr20
drive_term_cr20_complete;2023-06-01 14:10:12;complete;td-td5_cr-cr20
drive_term_cr1_start;2023-06-01 15:38:55;start;td-td1_cr-cr1
drive_term_cr1_complete;2023-06-01 17:02:15;complete;td-td1_cr-cr1
drive_term_cr34_start;2023-06-02 08:30:55;start;td-td9_cr-cr34
drive_term_cr34_complete;2023-06-02 08:55:31;complete;td-td9_cr-cr34
drive_term_cr3_start;2023-06-02 09:44:41;start;td-td1_cr-cr3
drive_term_cr3_complete;2023-06-02 09:57:13;complete;td-td1_cr-cr3
drive_term_cr28_start;2023-06-02 10:11:45;start;td-td8_cr-cr28
drive_term_cr45_start;2023-06-02 10:54:54;start;td-td13_cr-cr45
drive_term_cr28_complete;2023-06-02 11:13:51;complete;td-td8_cr-cr28
drive_term_cr45_complete;2023-06-02 12:40:19;complete;td-td13_cr-cr45
drive_term_cr48_start;2023-06-02 16:09:53;start;td-td13_cr-cr48
drive_term_cr48_complete;2023-06-02 16:25:11;complete;td-td13_cr-cr48
drive_term_cr53_start;2023-06-05 11:26:07;start;td-td14_cr-cr53
drive_term_cr53_complete;2023-06-05 11:37:18;complete;td-td14_cr-cr53
drive_term_cr27_start;2023-06-05 11:56:54;start;td-td7_cr-cr27
drive_term_cr47_start;2023-06-05 11:59:29;start;td-td13_cr-cr47
drive_term_cr27_complete;2023-06-05 14:06:28;complete;td-td7_cr-cr27
drive_term_cr47_complete;2023-06-05 14:54:35;complete;td-td13_cr-cr47
drive_term_cr52_start;2023-06-05 15:00:42;start;td-td14_cr-cr52
drive_term_cr52_complete;2023-06-05 15:11:48;complete;td-td14_cr-cr52
drive_term_cr33_start;2023-06-05 15:27:54;start;td-td9_cr-cr33
drive_term_cr33_complete;2023-06-05 16:43:03;complete;td-td9_cr-cr33
drive_term_cr50_start;2023-06-06 08:31:21;start;td-td14_cr-cr50
drive_term_cr51_start;2023-06-06 08:50:43;start;td-td14_cr-cr51
