ocel_id;ocel_time
14482_enter_Loading Bay_vh1;2023-04-25 11:00:00
14483_enter_Forklift Depot_fl1;2023-04-25 11:00:00
14484_enter_Forklift Depot_fl3;2023-04-25 11:00:00
14485_enter_Forklift Depot_fl2;2023-04-25 11:00:00
14486_enter_Loading Bay_vh2;2023-04-28 23:00:00
14487_enter_Loading Bay_vh3;2023-05-02 11:00:00
14488_enter_Loading Bay_vh4;2023-05-05 23:00:00
14489_enter_Loading Bay_vh5;2023-05-09 11:00:00
14490_enter_Loading Bay_vh6;2023-05-12 23:00:00
14491_enter_Loading Bay_vh7;2023-05-16 11:00:00
14492_enter_Loading Bay_vh8;2023-05-19 23:00:00
14493_enter_Loading Bay_vh9;2023-05-23 11:00:00
14495_enter_Supplier_tr2;2023-05-24 07:53:02
14497_enter_Supplier Loading Area_tr2;2023-05-24 09:26:50
14498_enter_Supplier Loading Area_cr5;2023-05-24 09:26:50
14501_enter_Terminal South_tr2;2023-05-24 09:40:38
14502_enter_Terminal South_cr5;2023-05-24 09:40:38
14504_enter_Terminal South_fl1;2023-05-24 09:40:38
14506_enter_Truck Depot_tr2;2023-05-24 09:40:41
14509_enter_Loading Bay_fl1;2023-05-24 09:47:16
14510_enter_Loading Bay_cr5;2023-05-24 09:47:16
14512_enter_Supplier_tr2;2023-05-25 11:56:49
14514_enter_Supplier Loading Area_tr2;2023-05-25 14:17:50
14515_enter_Supplier Loading Area_cr6;2023-05-25 14:17:50
14519_enter_Supplier_tr4;2023-05-25 16:00:39
14521_enter_Supplier Loading Area_tr4;2023-05-25 16:25:56
14522_enter_Supplier Loading Area_cr7;2023-05-25 16:25:56
14523_enter_Terminal South_tr2;2023-05-25 16:27:40
14524_enter_Terminal South_cr6;2023-05-25 16:27:40
14526_enter_Terminal South_fl3;2023-05-25 16:27:40
14528_enter_Truck Depot_tr2;2023-05-25 16:27:48
14531_enter_Loading Bay_fl3;2023-05-25 16:36:27
14532_enter_Loading Bay_cr6;2023-05-25 16:36:27
14535_enter_Terminal South_tr4;2023-05-25 16:55:25
14536_enter_Terminal South_cr7;2023-05-25 16:55:25
14538_enter_Terminal South_fl2;2023-05-25 16:55:25
14540_enter_Truck Depot_tr4;2023-05-25 16:55:30
14543_enter_Loading Bay_fl2;2023-05-25 17:59:16
14544_enter_Loading Bay_cr7;2023-05-25 17:59:16
14545_enter_Loading Bay_vh10;2023-05-26 23:00:00
14550_enter_Supplier_tr6;2023-05-29 07:31:54
14552_enter_Supplier_tr4;2023-05-29 07:34:36
14554_enter_Supplier_tr5;2023-05-29 07:52:13
14556_enter_Supplier_tr3;2023-05-29 07:54:53
14558_enter_Supplier Loading Area_tr6;2023-05-29 08:48:46
14559_enter_Supplier Loading Area_cr16;2023-05-29 08:48:46
14560_enter_Supplier Loading Area_tr4;2023-05-29 08:54:39
14561_enter_Supplier Loading Area_cr12;2023-05-29 08:54:39
14562_enter_Supplier Loading Area_tr5;2023-05-29 09:29:38
