ocel_id;ocel_time
14494_leave_Truck Depot_tr2;2023-05-23 22:44:33
14496_leave_Supplier_tr2;2023-05-24 07:53:02
14499_leave_Supplier Loading Area_tr2;2023-05-24 09:30:12
14500_leave_Supplier Loading Area_cr5;2023-05-24 09:30:12
14503_leave_Forklift Depot_fl1;2023-05-24 09:40:38
14505_leave_Terminal South_tr2;2023-05-24 09:40:41
14507_leave_Terminal South_fl1;2023-05-24 09:47:16
14508_leave_Terminal South_cr5;2023-05-24 09:47:16
14511_leave_Truck Depot_tr2;2023-05-25 11:52:51
14513_leave_Supplier_tr2;2023-05-25 11:56:53
14516_leave_Truck Depot_tr4;2023-05-25 14:58:12
14517_leave_Supplier Loading Area_tr2;2023-05-25 15:23:21
14518_leave_Supplier Loading Area_cr6;2023-05-25 15:23:21
14520_leave_Supplier_tr4;2023-05-25 16:00:39
14525_leave_Forklift Depot_fl3;2023-05-25 16:27:40
14527_leave_Terminal South_tr2;2023-05-25 16:27:48
14529_leave_Terminal South_fl3;2023-05-25 16:36:27
14530_leave_Terminal South_cr6;2023-05-25 16:36:27
14533_leave_Supplier Loading Area_tr4;2023-05-25 16:43:20
14534_leave_Supplier Loading Area_cr7;2023-05-25 16:43:20
14537_leave_Forklift Depot_fl2;2023-05-25 16:55:25
14539_leave_Terminal South_tr4;2023-05-25 16:55:30
14541_leave_Terminal South_fl2;2023-05-25 17:59:16
14542_leave_Terminal South_cr7;2023-05-25 17:59:16
14546_leave_Truck Depot_tr3;2023-05-28 01:46:10
14547_leave_Truck Depot_tr5;2023-05-28 16:30:27
14548_leave_Truck Depot_tr6;2023-05-28 21:16:17
14549_leave_Truck Depot_tr4;2023-05-28 21:25:44
14551_leave_Supplier_tr6;2023-05-29 07:32:25
14553_leave_Supplier_tr4;2023-05-29 07:35:08
14555_leave_Supplier_tr5;2023-05-29 07:52:13
14557_leave_Supplier_tr3;2023-05-29 07:54:53
14566_leave_Supplier Loading Area_tr4;2023-05-29 13:51:19
14567_leave_Supplier Loading Area_cr12;2023-05-29 13:51:19
14568_leave_Supplier Loading Area_tr5;2023-05-29 13:53:18
14569_leave_Supplier Loading Area_cr13;2023-05-29 13:53:18
14570_leave_Supplier Loading Area_tr6;2023-05-29 13:59:09
14571_leave_Supplier Loading Area_cr16;2023-05-29 13:59:09
14572_leave_Supplier Loading Area_tr3;2023-05-29 14:59:31
14573_leave_Supplier Loading Area_cr9;2023-05-29 14:59:31
14576_leave_Loading Bay_fl1;2023-05-29 15:09:24
14578_leave_Terminal North_tr6;2023-05-29 15:09:31
14580_leave_Terminal North_fl1;2023-05-29 15:12:16
14581_leave_Terminal North_cr16;2023-05-29 15:12:16
14586_leave_Storage_fl1;2023-05-29 15:29:11
14588_leave_Terminal North_tr4;2023-05-29 15:29:14
14592_leave_Loading Bay_fl2;2023-05-29 15:32:29
14594_leave_Terminal South_tr5;2023-05-29 15:32:40
14596_leave_Terminal North_fl1;2023-05-29 15:34:08
14597_leave_Terminal North_cr12;2023-05-29 15:34:08
14600_leave_Terminal South_fl2;2023-05-29 15:42:11
14601_leave_Terminal South_cr13;2023-05-29 15:42:11
14606_leave_Loading Bay_fl3;2023-05-29 16:43:17
14608_leave_Terminal South_tr3;2023-05-29 16:43:23
14610_leave_Terminal South_fl3;2023-05-29 16:56:51
14611_leave_Terminal South_cr9;2023-05-29 16:56:51
14614_leave_Truck Depot_tr4;2023-05-29 17:09:25
14616_leave_Supplier_tr4;2023-05-29 17:32:20
14617_leave_Truck Depot_tr2;2023-05-29 23:27:23
14621_leave_Supplier_tr2;2023-05-30 07:53:40
14622_leave_Supplier Loading Area_tr4;2023-05-30 07:59:01
14623_leave_Supplier Loading Area_cr18;2023-05-30 07:59:01
14624_leave_Truck Depot_tr1;2023-05-30 09:12:34
14627_leave_Storage_fl1;2023-05-30 09:17:49
14629_leave_Terminal North_tr4;2023-05-30 09:17:53
14631_leave_Terminal North_fl1;2023-05-30 09:22:07
14632_leave_Terminal North_cr18;2023-05-30 09:22:07
14636_leave_Supplier_tr1;2023-05-30 09:24:40
