ocel_id;ocel_time;lifecycle;instance_id
load_veh_cr5_vh5_start;2023-05-24 09:47:16;start;td-td1_cr-cr5
load_veh_cr5_vh5_complete;2023-05-24 09:48:15;complete;td-td1_cr-cr5
load_veh_cr6_vh6_start;2023-05-25 16:36:27;start;td-td2_cr-cr6
load_veh_cr6_vh6_complete;2023-05-25 16:37:41;complete;td-td2_cr-cr6
load_veh_cr7_vh1_start;2023-05-25 17:59:16;start;td-td2_cr-cr7
load_veh_cr7_vh1_complete;2023-05-25 19:35:18;complete;td-td2_cr-cr7
load_veh_cr13_vh3_start;2023-05-29 15:42:11;start;td-td3_cr-cr13
load_veh_cr13_vh3_complete;2023-05-29 15:47:40;complete;td-td3_cr-cr13
load_veh_cr9_vh6_start;2023-05-29 16:56:51;start;td-td2_cr-cr9
load_veh_cr9_vh6_complete;2023-05-29 18:00:36;complete;td-td2_cr-cr9
load_veh_cr29_vh2_start;2023-06-01 07:40:49;start;td-td8_cr-cr29
load_veh_cr30_vh2_start;2023-06-01 07:43:15;start;td-td8_cr-cr30
load_veh_cr29_vh2_complete;2023-06-01 07:48:31;complete;td-td8_cr-cr29
load_veh_cr30_vh2_complete;2023-06-01 07:50:47;complete;td-td8_cr-cr30
load_veh_cr41_vh2_start;2023-06-01 07:50:52;start;td-td11_cr-cr41
load_veh_cr41_vh2_complete;2023-06-01 07:56:32;complete;td-td11_cr-cr41
load_veh_cr43_vh2_start;2023-06-01 11:58:25;start;td-td12_cr-cr43
load_veh_cr35_vh5_start;2023-06-01 13:39:17;start;td-td10_cr-cr35
load_veh_cr35_vh5_complete;2023-06-01 13:45:44;complete;td-td10_cr-cr35
load_veh_cr43_vh2_complete;2023-06-01 13:58:33;complete;td-td12_cr-cr43
load_veh_cr34_vh7_start;2023-06-02 11:00:07;start;td-td9_cr-cr34
load_veh_cr34_vh7_complete;2023-06-02 11:08:39;complete;td-td9_cr-cr34
load_veh_cr48_vh4_start;2023-06-02 16:28:38;start;td-td13_cr-cr48
load_veh_cr48_vh4_complete;2023-06-02 16:31:55;complete;td-td13_cr-cr48
load_veh_cr12_vh3_start;2023-06-05 07:48:05;start;td-td3_cr-cr12
load_veh_cr14_vh3_start;2023-06-05 07:51:09;start;td-td3_cr-cr14
load_veh_cr12_vh3_complete;2023-06-05 07:52:16;complete;td-td3_cr-cr12
load_veh_cr11_vh3_start;2023-06-05 07:52:46;start;td-td3_cr-cr11
load_veh_cr14_vh3_complete;2023-06-05 08:52:44;complete;td-td3_cr-cr14
load_veh_cr11_vh3_complete;2023-06-05 08:54:59;complete;td-td3_cr-cr11
load_veh_cr53_vh4_start;2023-06-05 11:40:18;start;td-td14_cr-cr53
load_veh_cr53_vh4_complete;2023-06-05 11:46:07;complete;td-td14_cr-cr53
load_veh_cr27_vh7_start;2023-06-05 14:12:52;start;td-td7_cr-cr27
load_veh_cr27_vh7_complete;2023-06-05 14:15:05;complete;td-td7_cr-cr27
load_veh_cr47_vh4_start;2023-06-05 16:01:06;start;td-td13_cr-cr47
load_veh_cr47_vh4_complete;2023-06-05 16:02:41;complete;td-td13_cr-cr47
load_veh_cr49_vh4_start;2023-06-06 11:26:30;start;td-td14_cr-cr49
