ocel_id;ocel_time;lifecycle;instance_id
load_truck_hu2_complete;2023-05-24 09:26:50;complete;td-td1_cr-cr5
load_truck_hu1_complete;2023-05-24 09:27:40;complete;td-td1_cr-cr5
load_truck_hu4_complete;2023-05-25 14:17:50;complete;td-td2_cr-cr6
load_truck_hu6_complete;2023-05-25 14:21:27;complete;td-td2_cr-cr6
load_truck_hu7_complete;2023-05-25 15:01:28;complete;td-td2_cr-cr6
load_truck_hu5_complete;2023-05-25 15:12:29;complete;td-td2_cr-cr6
load_truck_hu3_complete;2023-05-25 15:17:37;complete;td-td2_cr-cr6
load_truck_hu8_complete;2023-05-25 15:21:46;complete;td-td2_cr-cr6
load_truck_hu11_complete;2023-05-25 16:25:56;complete;td-td2_cr-cr7
load_truck_hu12_complete;2023-05-25 16:28:06;complete;td-td2_cr-cr7
load_truck_hu14_complete;2023-05-25 16:29:44;complete;td-td2_cr-cr7
load_truck_hu10_complete;2023-05-25 16:35:48;complete;td-td2_cr-cr7
load_truck_hu13_complete;2023-05-25 16:39:41;complete;td-td2_cr-cr7
load_truck_hu9_complete;2023-05-25 16:40:49;complete;td-td2_cr-cr7
load_truck_hu34_complete;2023-05-29 08:54:59;complete;td-td3_cr-cr12
load_truck_hu17_complete;2023-05-29 09:34:27;complete;td-td2_cr-cr9
load_truck_hu20_complete;2023-05-29 09:38:20;complete;td-td2_cr-cr9
load_truck_hu32_complete;2023-05-29 09:57:10;complete;td-td4_cr-cr16
load_truck_hu37_complete;2023-05-29 10:58:42;complete;td-td3_cr-cr12
load_truck_hu25_complete;2023-05-29 12:00:31;complete;td-td3_cr-cr13
load_truck_hu15_complete;2023-05-29 13:02:46;complete;td-td2_cr-cr9
load_truck_hu18_complete;2023-05-29 13:07:54;complete;td-td2_cr-cr9
load_truck_hu35_complete;2023-05-29 13:11:38;complete;td-td3_cr-cr12
load_truck_hu28_complete;2023-05-29 13:16:23;complete;td-td4_cr-cr16
load_truck_hu33_complete;2023-05-29 13:19:36;complete;td-td3_cr-cr12
load_truck_hu36_complete;2023-05-29 13:21:37;complete;td-td3_cr-cr12
load_truck_hu24_complete;2023-05-29 13:26:49;complete;td-td3_cr-cr13
load_truck_hu31_complete;2023-05-29 13:28:36;complete;td-td4_cr-cr16
load_truck_hu21_complete;2023-05-29 13:37:10;complete;td-td3_cr-cr13
load_truck_hu19_complete;2023-05-29 13:38:20;complete;td-td2_cr-cr9
load_truck_hu29_complete;2023-05-29 13:39:08;complete;td-td4_cr-cr16
load_truck_hu26_complete;2023-05-29 13:42:24;complete;td-td3_cr-cr13
load_truck_hu22_complete;2023-05-29 13:45:38;complete;td-td3_cr-cr13
load_truck_hu38_complete;2023-05-29 13:47:12;complete;td-td3_cr-cr12
load_truck_hu30_complete;2023-05-29 13:48:08;complete;td-td4_cr-cr16
load_truck_hu23_complete;2023-05-29 13:51:49;complete;td-td3_cr-cr13
load_truck_hu27_complete;2023-05-29 13:54:49;complete;td-td4_cr-cr16
load_truck_hu16_complete;2023-05-29 14:58:58;complete;td-td2_cr-cr9
load_truck_hu40_complete;2023-05-30 07:47:44;complete;td-td4_cr-cr18
load_truck_hu39_complete;2023-05-30 07:49:40;complete;td-td4_cr-cr18
load_truck_hu41_complete;2023-05-30 09:27:23;complete;td-td3_cr-cr14
load_truck_hu43_complete;2023-05-30 09:29:19;complete;td-td3_cr-cr14
load_truck_hu45_complete;2023-05-30 09:32:34;complete;td-td3_cr-cr14
load_truck_hu46_complete;2023-05-30 09:33:37;complete;td-td3_cr-cr14
load_truck_hu44_complete;2023-05-30 09:34:43;complete;td-td3_cr-cr14
load_truck_hu42_complete;2023-05-30 09:39:24;complete;td-td3_cr-cr14
load_truck_hu49_complete;2023-05-30 11:04:26;complete;td-td2_cr-cr10
load_truck_hu47_complete;2023-05-30 11:07:10;complete;td-td2_cr-cr10
load_truck_hu52_complete;2023-05-30 11:08:19;complete;td-td2_cr-cr10
load_truck_hu50_complete;2023-05-30 11:13:10;complete;td-td2_cr-cr10
load_truck_hu48_complete;2023-05-30 11:16:46;complete;td-td2_cr-cr10
load_truck_hu51_complete;2023-05-30 11:19:01;complete;td-td2_cr-cr10
load_truck_hu57_complete;2023-05-30 13:46:51;complete;td-td8_cr-cr29
load_truck_hu58_complete;2023-05-30 13:48:39;complete;td-td8_cr-cr29
load_truck_hu56_complete;2023-05-30 13:51:53;complete;td-td8_cr-cr29
load_truck_hu55_complete;2023-05-30 13:53:18;complete;td-td8_cr-cr29
load_truck_hu60_complete;2023-05-30 13:53:26;complete;td-td8_cr-cr30
load_truck_hu53_complete;2023-05-30 13:56:45;complete;td-td8_cr-cr29
load_truck_hu61_complete;2023-05-30 13:58:32;complete;td-td8_cr-cr30
load_truck_hu63_complete;2023-05-30 15:02:01;complete;td-td8_cr-cr30
load_truck_hu62_complete;2023-05-30 15:05:12;complete;td-td8_cr-cr30
load_truck_hu54_complete;2023-05-30 15:06:35;complete;td-td8_cr-cr29
load_truck_hu59_complete;2023-05-30 15:08:28;complete;td-td8_cr-cr30
load_truck_hu75_complete;2023-05-31 08:53:18;complete;td-td1_cr-cr4
load_truck_hu73_complete;2023-05-31 08:58:41;complete;td-td1_cr-cr4
load_truck_hu69_complete;2023-05-31 09:45:14;complete;td-td5_cr-cr19
load_truck_hu64_complete;2023-05-31 09:47:49;complete;td-td5_cr-cr19
load_truck_hu65_complete;2023-05-31 09:48:57;complete;td-td5_cr-cr19
load_truck_hu68_complete;2023-05-31 09:50:49;complete;td-td5_cr-cr19
load_truck_hu66_complete;2023-05-31 09:51:31;complete;td-td5_cr-cr19
load_truck_hu67_complete;2023-05-31 09:56:28;complete;td-td5_cr-cr19
load_truck_hu74_complete;2023-05-31 10:00:00;complete;td-td1_cr-cr4
load_truck_hu71_complete;2023-05-31 10:04:45;complete;td-td1_cr-cr4
load_truck_hu70_complete;2023-05-31 10:07:30;complete;td-td1_cr-cr4
load_truck_hu72_complete;2023-05-31 10:08:53;complete;td-td1_cr-cr4
load_truck_hu81_complete;2023-05-31 16:52:56;complete;td-td12_cr-cr43
load_truck_hu84_complete;2023-05-31 16:54:13;complete;td-td12_cr-cr43
load_truck_hu80_complete;2023-05-31 16:57:08;complete;td-td12_cr-cr43
load_truck_hu79_complete;2023-05-31 17:00:52;complete;td-td11_cr-cr41
load_truck_hu77_complete;2023-05-31 17:04:12;complete;td-td11_cr-cr41
load_truck_hu76_complete;2023-05-31 17:09:18;complete;td-td11_cr-cr41
load_truck_hu78_complete;2023-05-31 17:15:51;complete;td-td11_cr-cr41
load_truck_hu82_complete;2023-05-31 18:04:31;complete;td-td12_cr-cr43
load_truck_hu85_complete;2023-05-31 18:25:57;complete;td-td12_cr-cr43
load_truck_hu83_complete;2023-05-31 18:44:55;complete;td-td12_cr-cr43
load_truck_hu91_complete;2023-06-01 08:47:40;complete;td-td1_cr-cr2
load_truck_hu95_complete;2023-06-01 08:58:36;complete;td-td10_cr-cr35
load_truck_hu89_complete;2023-06-01 09:00:03;complete;td-td1_cr-cr2
load_truck_hu101_complete;2023-06-01 09:08:43;complete;td-td3_cr-cr11
load_truck_hu98_complete;2023-06-01 09:10:31;complete;td-td3_cr-cr11
load_truck_hu102_complete;2023-06-01 09:15:13;complete;td-td3_cr-cr11
load_truck_hu99_complete;2023-06-01 09:17:49;complete;td-td3_cr-cr11
load_truck_hu87_complete;2023-06-01 09:23:38;complete;td-td1_cr-cr2
load_truck_hu100_complete;2023-06-01 09:31:27;complete;td-td3_cr-cr11
load_truck_hu88_complete;2023-06-01 09:36:21;complete;td-td1_cr-cr2
load_truck_hu86_complete;2023-06-01 09:42:31;complete;td-td1_cr-cr2
load_truck_hu103_complete;2023-06-01 09:45:55;complete;td-td3_cr-cr11
load_truck_hu90_complete;2023-06-01 09:49:28;complete;td-td1_cr-cr2
load_truck_hu97_complete;2023-06-01 09:59:19;complete;td-td10_cr-cr35
load_truck_hu93_complete;2023-06-01 10:59:56;complete;td-td10_cr-cr35
load_truck_hu104_complete;2023-06-01 11:58:33;complete;td-td5_cr-cr20
load_truck_hu96_complete;2023-06-01 12:03:22;complete;td-td10_cr-cr35
load_truck_hu94_complete;2023-06-01 13:08:20;complete;td-td10_cr-cr35
load_truck_hu92_complete;2023-06-01 13:12:26;complete;td-td10_cr-cr35
load_truck_hu109_complete;2023-06-01 15:25:30;complete;td-td1_cr-cr1
load_truck_hu110_complete;2023-06-01 15:29:00;complete;td-td1_cr-cr1
load_truck_hu106_complete;2023-06-01 15:31:31;complete;td-td1_cr-cr1
load_truck_hu105_complete;2023-06-01 15:32:16;complete;td-td1_cr-cr1
load_truck_hu107_complete;2023-06-01 15:33:57;complete;td-td1_cr-cr1
load_truck_hu108_complete;2023-06-01 15:37:43;complete;td-td1_cr-cr1
load_truck_hu112_complete;2023-06-02 08:13:25;complete;td-td9_cr-cr34
load_truck_hu111_complete;2023-06-02 08:19:14;complete;td-td9_cr-cr34
load_truck_hu113_complete;2023-06-02 08:28:22;complete;td-td9_cr-cr34
load_truck_hu122_complete;2023-06-02 08:59:51;complete;td-td8_cr-cr28
load_truck_hu115_complete;2023-06-02 09:29:42;complete;td-td1_cr-cr3
load_truck_hu118_complete;2023-06-02 09:32:02;complete;td-td1_cr-cr3
load_truck_hu119_complete;2023-06-02 09:33:08;complete;td-td1_cr-cr3
load_truck_hu116_complete;2023-06-02 09:35:08;complete;td-td1_cr-cr3
load_truck_hu117_complete;2023-06-02 09:37:58;complete;td-td1_cr-cr3
load_truck_hu114_complete;2023-06-02 09:39:44;complete;td-td1_cr-cr3
load_truck_hu123_complete;2023-06-02 10:03:19;complete;td-td8_cr-cr28
load_truck_hu125_complete;2023-06-02 10:04:22;complete;td-td8_cr-cr28
load_truck_hu124_complete;2023-06-02 10:06:37;complete;td-td8_cr-cr28
load_truck_hu121_complete;2023-06-02 10:10:23;complete;td-td8_cr-cr28
load_truck_hu120_complete;2023-06-02 10:11:07;complete;td-td8_cr-cr28
load_truck_hu127_complete;2023-06-02 10:39:58;complete;td-td13_cr-cr45
load_truck_hu128_complete;2023-06-02 10:43:36;complete;td-td13_cr-cr45
load_truck_hu131_complete;2023-06-02 10:46:15;complete;td-td13_cr-cr45
load_truck_hu126_complete;2023-06-02 10:48:45;complete;td-td13_cr-cr45
load_truck_hu129_complete;2023-06-02 10:51:30;complete;td-td13_cr-cr45
load_truck_hu130_complete;2023-06-02 10:54:11;complete;td-td13_cr-cr45
load_truck_hu134_complete;2023-06-02 15:16:05;complete;td-td13_cr-cr48
load_truck_hu137_complete;2023-06-02 15:17:52;complete;td-td13_cr-cr48
load_truck_hu136_complete;2023-06-02 15:23:18;complete;td-td13_cr-cr48
load_truck_hu132_complete;2023-06-02 15:24:30;complete;td-td13_cr-cr48
load_truck_hu135_complete;2023-06-02 16:00:38;complete;td-td13_cr-cr48
load_truck_hu133_complete;2023-06-02 16:07:47;complete;td-td13_cr-cr48
load_truck_hu149_complete;2023-06-05 09:06:56;complete;td-td14_cr-cr53
load_truck_hu148_complete;2023-06-05 09:08:58;complete;td-td14_cr-cr53
load_truck_hu138_complete;2023-06-05 09:30:45;complete;td-td9_cr-cr33
load_truck_hu142_complete;2023-06-05 09:32:04;complete;td-td9_cr-cr33
load_truck_hu139_complete;2023-06-05 09:33:01;complete;td-td9_cr-cr33
load_truck_hu145_complete;2023-06-05 09:36:00;complete;td-td7_cr-cr27
load_truck_hu140_complete;2023-06-05 09:38:25;complete;td-td9_cr-cr33
load_truck_hu165_complete;2023-06-05 09:57:56;complete;td-td14_cr-cr51
load_truck_hu156_complete;2023-06-05 10:23:43;complete;td-td14_cr-cr52
load_truck_hu153_complete;2023-06-05 10:25:23;complete;td-td14_cr-cr52
load_truck_hu147_complete;2023-06-05 11:04:24;complete;td-td14_cr-cr53
load_truck_hu144_complete;2023-06-05 11:07:13;complete;td-td7_cr-cr27
load_truck_hu159_complete;2023-06-05 11:09:47;complete;td-td13_cr-cr47
load_truck_hu158_complete;2023-06-05 11:14:45;complete;td-td13_cr-cr47
load_truck_hu150_complete;2023-06-05 11:22:01;complete;td-td14_cr-cr53
load_truck_hu162_complete;2023-06-05 11:29:03;complete;td-td13_cr-cr47
load_truck_hu161_complete;2023-06-05 11:29:58;complete;td-td13_cr-cr47
load_truck_hu155_complete;2023-06-05 11:33:32;complete;td-td14_cr-cr52
load_truck_hu160_complete;2023-06-05 11:37:27;complete;td-td13_cr-cr47
load_truck_hu166_complete;2023-06-05 11:41:45;complete;td-td14_cr-cr51
load_truck_hu154_complete;2023-06-05 11:44:09;complete;td-td14_cr-cr52
