ocel_id;ocel_time;lifecycle;instance_id
order_crs_td1;2023-05-23 13:54:50;complete;td-td1
order_crs_td2;2023-05-25 11:46:25;complete;td-td2
order_crs_td3;2023-05-25 14:04:18;complete;td-td3
order_crs_td4;2023-05-26 16:04:24;complete;td-td4
order_crs_td5;2023-05-29 12:19:17;complete;td-td5
order_crs_td6;2023-05-30 09:33:06;complete;td-td6
order_crs_td7;2023-05-30 12:04:36;complete;td-td7
order_crs_td8;2023-05-30 12:17:00;complete;td-td8
order_crs_td10;2023-05-31 11:02:52;complete;td-td10
order_crs_td9;2023-05-31 11:07:37;complete;td-td9
order_crs_td11;2023-05-31 15:12:07;complete;td-td11
order_crs_td12;2023-05-31 16:21:40;complete;td-td12
order_crs_td13;2023-05-31 17:36:11;complete;td-td13
order_crs_td14;2023-06-02 15:33:10;complete;td-td14
order_crs_td15;2023-06-05 09:59:31;complete;td-td15
order_crs_td16;2023-06-05 15:41:09;complete;td-td16
order_crs_td17;2023-06-06 08:28:56;complete;td-td17
order_crs_td18;2023-06-07 11:04:23;complete;td-td18
order_crs_td19;2023-06-08 16:28:27;complete;td-td19
order_crs_td20;2023-06-08 18:20:28;complete;td-td20
order_crs_td21;2023-06-09 16:07:42;complete;td-td21
order_crs_td22;2023-06-12 10:44:18;complete;td-td22
order_crs_td23;2023-06-12 17:31:00;complete;td-td23
order_crs_td24;2023-06-12 17:43:05;complete;td-td24
order_crs_td25;2023-06-13 14:18:57;complete;td-td25
order_crs_td26;2023-06-13 14:44:01;complete;td-td26
order_crs_td27;2023-06-13 17:10:06;complete;td-td27
order_crs_td28;2023-06-14 16:35:04;complete;td-td28
order_crs_td29;2023-06-15 16:12:35;complete;td-td29
order_crs_td31;2023-06-16 16:23:25;complete;td-td31
order_crs_td30;2023-06-16 17:59:41;complete;td-td30
order_crs_td32;2023-06-19 09:55:29;complete;td-td32
order_crs_td34;2023-06-19 10:12:11;complete;td-td34
order_crs_td33;2023-06-19 13:42:30;complete;td-td33
order_crs_td35;2023-06-21 12:54:05;complete;td-td35
order_crs_td36;2023-06-21 17:03:22;complete;td-td36
order_crs_td37;2023-06-22 10:41:59;complete;td-td37
order_crs_td38;2023-06-22 16:39:15;complete;td-td38
