ocel_id;ocel_time;lifecycle;instance_id
pick_cr5_start;2023-05-23 22:44:33;start;td-td1_cr-cr5
pick_cr5_complete;2023-05-24 07:53:14;complete;td-td1_cr-cr5
pick_cr6_start;2023-05-25 11:52:51;start;td-td2_cr-cr6
pick_cr6_complete;2023-05-25 11:56:50;complete;td-td2_cr-cr6
pick_cr7_start;2023-05-25 14:58:12;start;td-td2_cr-cr7
pick_cr7_complete;2023-05-25 16:00:50;complete;td-td2_cr-cr7
pick_cr9_start;2023-05-28 01:46:10;start;td-td2_cr-cr9
pick_cr13_start;2023-05-28 16:30:27;start;td-td3_cr-cr13
pick_cr16_start;2023-05-28 21:16:17;start;td-td4_cr-cr16
pick_cr12_start;2023-05-28 21:25:44;start;td-td3_cr-cr12
pick_cr16_complete;2023-05-29 07:32:14;complete;td-td4_cr-cr16
pick_cr12_complete;2023-05-29 07:34:52;complete;td-td3_cr-cr12
pick_cr13_complete;2023-05-29 07:52:18;complete;td-td3_cr-cr13
pick_cr9_complete;2023-05-29 07:54:57;complete;td-td2_cr-cr9
pick_cr18_start;2023-05-29 17:09:25;start;td-td4_cr-cr18
pick_cr18_complete;2023-05-29 17:32:39;complete;td-td4_cr-cr18
pick_cr14_start;2023-05-29 23:27:23;start;td-td3_cr-cr14
pick_cr14_complete;2023-05-30 07:53:46;complete;td-td3_cr-cr14
pick_cr10_start;2023-05-30 09:12:34;start;td-td2_cr-cr10
pick_cr10_complete;2023-05-30 09:24:31;complete;td-td2_cr-cr10
pick_cr29_start;2023-05-30 12:17:00;start;td-td8_cr-cr29
pick_cr30_start;2023-05-30 12:17:00;start;td-td8_cr-cr30
pick_cr29_complete;2023-05-30 13:21:49;complete;td-td8_cr-cr29
pick_cr30_complete;2023-05-30 13:28:26;complete;td-td8_cr-cr30
pick_cr19_start;2023-05-30 18:19:10;start;td-td5_cr-cr19
pick_cr4_start;2023-05-31 04:17:49;start;td-td1_cr-cr4
pick_cr19_complete;2023-05-31 07:20:03;complete;td-td5_cr-cr19
pick_cr4_complete;2023-05-31 07:36:54;complete;td-td1_cr-cr4
pick_cr41_start;2023-05-31 15:12:07;start;td-td11_cr-cr41
pick_cr41_complete;2023-05-31 15:18:37;complete;td-td11_cr-cr41
pick_cr43_start;2023-05-31 16:21:40;start;td-td12_cr-cr43
pick_cr43_complete;2023-05-31 16:27:42;complete;td-td12_cr-cr43
pick_cr2_start;2023-05-31 18:46:09;start;td-td1_cr-cr2
pick_cr35_start;2023-05-31 22:52:24;start;td-td10_cr-cr35
pick_cr11_start;2023-06-01 01:31:22;start;td-td3_cr-cr11
pick_cr11_complete;2023-06-01 07:43:43;complete;td-td3_cr-cr11
pick_cr2_complete;2023-06-01 08:07:13;complete;td-td1_cr-cr2
pick_cr35_complete;2023-06-01 08:18:38;complete;td-td10_cr-cr35
pick_cr20_start;2023-06-01 11:34:00;start;td-td5_cr-cr20
pick_cr20_complete;2023-06-01 11:38:19;complete;td-td5_cr-cr20
pick_cr1_start;2023-06-01 12:28:15;start;td-td1_cr-cr1
pick_cr1_complete;2023-06-01 13:32:41;complete;td-td1_cr-cr1
pick_cr34_start;2023-06-01 16:17:03;start;td-td9_cr-cr34
pick_cr34_complete;2023-06-01 16:22:11;complete;td-td9_cr-cr34
pick_cr3_start;2023-06-01 21:25:57;start;td-td1_cr-cr3
pick_cr28_start;2023-06-02 05:49:52;start;td-td8_cr-cr28
pick_cr3_complete;2023-06-02 07:49:34;complete;td-td1_cr-cr3
pick_cr28_complete;2023-06-02 08:09:13;complete;td-td8_cr-cr28
pick_cr45_start;2023-06-02 10:08:58;start;td-td13_cr-cr45
pick_cr45_complete;2023-06-02 10:14:52;complete;td-td13_cr-cr45
pick_cr48_start;2023-06-02 13:35:59;start;td-td13_cr-cr48
pick_cr48_complete;2023-06-02 13:54:46;complete;td-td13_cr-cr48
