ocel_id;ocel_time;lifecycle;instance_id
place_stock_cr16_complete;2023-05-29 15:12:16;complete;td-td4_cr-cr16
place_stock_cr12_complete;2023-05-29 15:34:08;complete;td-td3_cr-cr12
place_stock_cr18_complete;2023-05-30 09:22:07;complete;td-td4_cr-cr18
place_stock_cr14_complete;2023-05-30 09:56:22;complete;td-td3_cr-cr14
place_stock_cr10_complete;2023-05-30 11:36:00;complete;td-td2_cr-cr10
place_stock_cr30_complete;2023-05-30 15:26:10;complete;td-td8_cr-cr30
place_stock_cr29_complete;2023-05-30 15:57:31;complete;td-td8_cr-cr29
place_stock_cr4_complete;2023-05-31 10:54:56;complete;td-td1_cr-cr4
place_stock_cr19_complete;2023-05-31 11:12:28;complete;td-td5_cr-cr19
place_stock_cr41_complete;2023-06-01 07:46:21;complete;td-td11_cr-cr41
place_stock_cr2_complete;2023-06-01 10:56:56;complete;td-td1_cr-cr2
place_stock_cr43_complete;2023-06-01 10:57:12;complete;td-td12_cr-cr43
place_stock_cr11_complete;2023-06-01 11:05:16;complete;td-td3_cr-cr11
place_stock_cr20_complete;2023-06-01 14:15:57;complete;td-td5_cr-cr20
place_stock_cr1_complete;2023-06-01 17:13:01;complete;td-td1_cr-cr1
place_stock_cr3_complete;2023-06-02 10:58:18;complete;td-td1_cr-cr3
place_stock_cr28_complete;2023-06-02 11:20:58;complete;td-td8_cr-cr28
place_stock_cr45_complete;2023-06-02 13:49:58;complete;td-td13_cr-cr45
place_stock_cr52_complete;2023-06-05 15:14:50;complete;td-td14_cr-cr52
place_stock_cr33_complete;2023-06-05 16:52:23;complete;td-td9_cr-cr33
place_stock_cr50_complete;2023-06-06 09:54:06;complete;td-td14_cr-cr50
place_stock_cr51_complete;2023-06-06 11:01:54;complete;td-td14_cr-cr51
place_stock_cr24_complete;2023-06-06 11:35:33;complete;td-td6_cr-cr24
place_stock_cr61_complete;2023-06-06 14:41:53;complete;td-td17_cr-cr61
place_stock_cr46_complete;2023-06-06 14:51:21;complete;td-td13_cr-cr46
place_stock_cr37_complete;2023-06-06 14:52:09;complete;td-td11_cr-cr37
place_stock_cr42_complete;2023-06-06 14:55:17;complete;td-td12_cr-cr42
place_stock_cr36_complete;2023-06-06 14:59:09;complete;td-td10_cr-cr36
place_stock_cr17_complete;2023-06-06 18:07:09;complete;td-td4_cr-cr17
place_stock_cr32_complete;2023-06-07 11:42:56;complete;td-td9_cr-cr32
place_stock_cr59_complete;2023-06-07 11:44:38;complete;td-td16_cr-cr59
place_stock_cr56_complete;2023-06-08 10:58:14;complete;td-td15_cr-cr56
place_stock_cr55_complete;2023-06-08 13:18:33;complete;td-td15_cr-cr55
place_stock_cr68_complete;2023-06-12 09:35:14;complete;td-td19_cr-cr68
place_stock_cr65_complete;2023-06-12 14:17:42;complete;td-td18_cr-cr65
place_stock_cr75_complete;2023-06-12 14:36:18;complete;td-td21_cr-cr75
place_stock_cr58_complete;2023-06-12 15:29:10;complete;td-td15_cr-cr58
place_stock_cr67_complete;2023-06-12 15:58:50;complete;td-td19_cr-cr67
place_stock_cr60_complete;2023-06-12 16:27:09;complete;td-td16_cr-cr60
place_stock_cr66_complete;2023-06-12 16:46:14;complete;td-td19_cr-cr66
place_stock_cr40_complete;2023-06-12 16:55:47;complete;td-td11_cr-cr40
place_stock_cr76_complete;2023-06-13 07:42:22;complete;td-td21_cr-cr76
place_stock_cr70_complete;2023-06-13 07:52:50;complete;td-td19_cr-cr70
place_stock_cr71_complete;2023-06-13 09:32:45;complete;td-td20_cr-cr71
place_stock_cr23_complete;2023-06-13 09:49:38;complete;td-td6_cr-cr23
place_stock_cr26_complete;2023-06-13 09:55:59;complete;td-td7_cr-cr26
place_stock_cr84_complete;2023-06-13 11:27:09;complete;td-td23_cr-cr84
place_stock_cr73_complete;2023-06-13 11:38:22;complete;td-td20_cr-cr73
place_stock_cr87_complete;2023-06-13 13:06:02;complete;td-td24_cr-cr87
place_stock_cr81_complete;2023-06-14 07:50:52;complete;td-td23_cr-cr81
place_stock_cr96_complete;2023-06-14 11:47:48;complete;td-td27_cr-cr96
place_stock_cr98_complete;2023-06-14 11:53:05;complete;td-td27_cr-cr98
place_stock_cr80_complete;2023-06-14 14:01:30;complete;td-td22_cr-cr80
place_stock_cr91_complete;2023-06-14 14:39:42;complete;td-td26_cr-cr91
place_stock_cr108_complete;2023-06-16 10:44:07;complete;td-td29_cr-cr108
place_stock_cr94_complete;2023-06-16 10:50:24;complete;td-td26_cr-cr94
place_stock_cr107_complete;2023-06-16 13:54:13;complete;td-td29_cr-cr107
place_stock_cr104_complete;2023-06-16 17:54:01;complete;td-td28_cr-cr104
place_stock_cr83_complete;2023-06-19 14:52:45;complete;td-td23_cr-cr83
place_stock_cr110_complete;2023-06-19 15:49:57;complete;td-td30_cr-cr110
place_stock_cr79_complete;2023-06-19 16:13:47;complete;td-td22_cr-cr79
place_stock_cr72_complete;2023-06-20 08:43:39;complete;td-td20_cr-cr72
place_stock_cr118_complete;2023-06-20 10:04:57;complete;td-td32_cr-cr118
place_stock_cr106_complete;2023-06-20 10:07:29;complete;td-td29_cr-cr106
