ocel_id;ocel_time;lifecycle;instance_id
reg_co1;2023-05-22 13:54:42;complete;co-co1
reg_co2;2023-05-22 20:33:30;complete;co-co2
reg_co3;2023-05-23 14:14:57;complete;co-co3
reg_co4;2023-05-23 20:34:15;complete;co-co4
reg_co5;2023-05-24 14:16:04;complete;co-co5
reg_co6;2023-05-24 20:37:36;complete;co-co6
reg_co7;2023-05-25 14:21:06;complete;co-co7
reg_co8;2023-05-25 20:52:42;complete;co-co8
reg_co9;2023-05-26 17:01:20;complete;co-co9
reg_co10;2023-05-29 11:50:58;complete;co-co10
reg_co11;2023-05-29 18:06:38;complete;co-co11
reg_co12;2023-05-30 12:07:58;complete;co-co12
reg_co13;2023-05-30 17:40:38;complete;co-co13
reg_co14;2023-05-31 12:15:58;complete;co-co14
reg_co15;2023-05-31 17:56:38;complete;co-co15
reg_co16;2023-06-01 12:47:58;complete;co-co16
reg_co17;2023-06-01 19:00:38;complete;co-co17
reg_co18;2023-06-02 14:49:13;complete;co-co18
reg_co19;2023-06-05 11:06:22;complete;co-co19
reg_co20;2023-06-05 16:37:26;complete;co-co20
reg_co21;2023-06-06 11:09:34;complete;co-co21
reg_co22;2023-06-06 16:43:50;complete;co-co22
reg_co23;2023-06-07 11:22:22;complete;co-co23
reg_co24;2023-06-07 17:09:26;complete;co-co24
reg_co25;2023-06-08 11:13:34;complete;co-co25
reg_co26;2023-06-08 16:51:50;complete;co-co26
reg_co27;2023-06-09 12:36:53;complete;co-co27
reg_co28;2023-06-12 09:05:55;complete;co-co28
reg_co29;2023-06-12 14:36:32;complete;co-co29
reg_co30;2023-06-13 08:39:00;complete;co-co30
reg_co31;2023-06-13 14:53:12;complete;co-co31
reg_co32;2023-06-14 09:29:00;complete;co-co32
reg_co33;2023-06-14 15:22:42;complete;co-co33
reg_co34;2023-06-15 09:40:06;complete;co-co34
reg_co35;2023-06-15 15:44:54;complete;co-co35
reg_co36;2023-06-16 10:54:19;complete;co-co36
reg_co37;2023-06-16 19:32:29;complete;co-co37
reg_co38;2023-06-19 13:56:33;complete;co-co38
reg_co39;2023-06-19 20:39:03;complete;co-co39
reg_co40;2023-06-20 14:23:16;complete;co-co40
reg_co41;2023-06-20 20:59:12;complete;co-co41
reg_co42;2023-06-21 14:53:30;complete;co-co42
reg_co43;2023-06-22 09:29:54;complete;co-co43
reg_co44;2023-06-22 15:24:30;complete;co-co44
reg_co45;2023-06-23 10:04:47;complete;co-co45
reg_co46;2023-06-23 17:53:25;complete;co-co46
reg_co47;2023-06-26 13:19:30;complete;co-co47
reg_co48;2023-06-26 19:03:42;complete;co-co48
reg_co49;2023-06-27 13:00:15;complete;co-co49
reg_co50;2023-06-27 18:25:12;complete;co-co50
reg_co51;2023-06-28 12:45:06;complete;co-co51
reg_co52;2023-06-28 18:54:54;complete;co-co52
reg_co53;2023-06-29 13:44:30;complete;co-co53
reg_co54;2023-06-29 20:02:54;complete;co-co54
reg_co55;2023-06-30 15:35:58;complete;co-co55
reg_co56;2023-07-03 11:25:50;complete;co-co56
reg_co57;2023-07-03 17:16:22;complete;co-co57
reg_co58;2023-07-04 11:27:26;complete;co-co58
reg_co59;2023-07-04 17:19:34;complete;co-co59
reg_co60;2023-07-05 11:33:50;complete;co-co60
reg_co61;2023-07-05 17:32:22;complete;co-co61
reg_co62;2023-07-06 11:59:26;complete;co-co62
reg_co63;2023-07-06 18:23:34;complete;co-co63
reg_co64;2023-07-07 14:19:39;complete;co-co64
reg_co65;2023-07-10 10:16:06;complete;co-co65
reg_co66;2023-07-10 15:56:54;complete;co-co66
reg_co67;2023-07-11 10:48:30;complete;co-co67
reg_co68;2023-07-11 17:01:42;complete;co-co68
reg_co69;2023-07-12 10:58:06;complete;co-co69
reg_co70;2023-07-12 17:20:54;complete;co-co70
reg_co71;2023-07-13 11:36:30;complete;co-co71
reg_co72;2023-07-13 17:37:42;complete;co-co72
reg_co73;2023-07-14 13:28:16;complete;co-co73
reg_co74;2023-07-17 09:48:45;complete;co-co74
reg_co75;2023-07-17 16:02:12;complete;co-co75
reg_co76;2023-07-18 09:59:06;complete;co-co76
reg_co77;2023-07-18 16:22:54;complete;co-co77
reg_co78;2023-07-19 10:40:30;complete;co-co78
reg_co79;2023-07-19 16:45:42;complete;co-co79
reg_co80;2023-07-20 11:26:06;complete;co-co80
reg_co81;2023-07-20 17:16:54;complete;co-co81
reg_co82;2023-07-21 12:37:45;complete;co-co82
reg_co83;2023-07-24 09:08:00;complete;co-co83
reg_co84;2023-07-24 14:40:42;complete;co-co84
reg_co85;2023-07-25 08:51:30;complete;co-co85
reg_co86;2023-07-25 15:11:57;complete;co-co86
reg_co87;2023-07-26 09:18:36;complete;co-co87
reg_co88;2023-07-26 15:01:54;complete;co-co88
reg_co89;2023-07-27 08:55:06;complete;co-co89
reg_co90;2023-07-27 15:17:21;complete;co-co90
reg_co91;2023-07-28 09:47:25;complete;co-co91
reg_co92;2023-07-28 18:18:41;complete;co-co92
reg_co93;2023-07-31 13:02:28;complete;co-co93
reg_co94;2023-07-31 18:29:38;complete;co-co94
reg_co95;2023-08-01 12:53:58;complete;co-co95
reg_co96;2023-08-01 19:12:38;complete;co-co96
reg_co97;2023-08-02 13:13:39;complete;co-co97
reg_co98;2023-08-02 18:52:00;complete;co-co98
reg_co99;2023-08-03 13:38:42;complete;co-co99
reg_co100;2023-08-03 19:45:30;complete;co-co100
