ocel_id;ocel_time;lifecycle;instance_id
arr_notice_cr5;2023-05-24 09:40:05;complete;td-td1_cr-cr5
arr_notice_cr6;2023-05-25 16:27:11;complete;td-td2_cr-cr6
arr_notice_cr7;2023-05-25 16:54:42;complete;td-td2_cr-cr7
arr_notice_cr16;2023-05-29 15:08:51;complete;td-td4_cr-cr16
arr_notice_cr12;2023-05-29 15:28:36;complete;td-td3_cr-cr12
arr_notice_cr13;2023-05-29 15:31:56;complete;td-td3_cr-cr13
arr_notice_cr9;2023-05-29 16:42:46;complete;td-td2_cr-cr9
arr_notice_cr18;2023-05-30 09:17:07;complete;td-td4_cr-cr18
arr_notice_cr14;2023-05-30 09:50:24;complete;td-td3_cr-cr14
arr_notice_cr10;2023-05-30 11:28:56;complete;td-td2_cr-cr10
arr_notice_cr30;2023-05-30 15:18:59;complete;td-td8_cr-cr30
arr_notice_cr29;2023-05-30 15:47:00;complete;td-td8_cr-cr29
arr_notice_cr4;2023-05-31 10:50:55;complete;td-td1_cr-cr4
arr_notice_cr19;2023-05-31 11:04:59;complete;td-td5_cr-cr19
arr_notice_cr41;2023-05-31 17:58:19;complete;td-td11_cr-cr41
arr_notice_cr43;2023-06-01 08:54:34;complete;td-td12_cr-cr43
arr_notice_cr11;2023-06-01 09:56:59;complete;td-td3_cr-cr11
arr_notice_cr2;2023-06-01 10:51:26;complete;td-td1_cr-cr2
arr_notice_cr35;2023-06-01 13:30:23;complete;td-td10_cr-cr35
arr_notice_cr20;2023-06-01 14:09:32;complete;td-td5_cr-cr20
arr_notice_cr1;2023-06-01 17:01:42;complete;td-td1_cr-cr1
arr_notice_cr34;2023-06-02 08:54:50;complete;td-td9_cr-cr34
arr_notice_cr3;2023-06-02 09:56:38;complete;td-td1_cr-cr3
arr_notice_cr28;2023-06-02 11:13:13;complete;td-td8_cr-cr28
arr_notice_cr45;2023-06-02 12:39:43;complete;td-td13_cr-cr45
arr_notice_cr48;2023-06-02 16:24:27;complete;td-td13_cr-cr48
arr_notice_cr53;2023-06-05 11:36:41;complete;td-td14_cr-cr53
arr_notice_cr27;2023-06-05 14:05:49;complete;td-td7_cr-cr27
arr_notice_cr47;2023-06-05 14:54:09;complete;td-td13_cr-cr47
arr_notice_cr52;2023-06-05 15:11:18;complete;td-td14_cr-cr52
arr_notice_cr33;2023-06-05 16:42:22;complete;td-td9_cr-cr33
arr_notice_cr50;2023-06-06 08:51:08;complete;td-td14_cr-cr50
arr_notice_cr51;2023-06-06 09:55:34;complete;td-td14_cr-cr51
arr_notice_cr49;2023-06-06 11:20:26;complete;td-td14_cr-cr49
arr_notice_cr24;2023-06-06 11:30:50;complete;td-td6_cr-cr24
arr_notice_cr38;2023-06-06 11:42:11;complete;td-td11_cr-cr38
arr_notice_cr15;2023-06-06 12:09:01;complete;td-td4_cr-cr15
arr_notice_cr25;2023-06-06 14:28:17;complete;td-td6_cr-cr25
arr_notice_cr61;2023-06-06 14:37:29;complete;td-td17_cr-cr61
arr_notice_cr46;2023-06-06 14:44:04;complete;td-td13_cr-cr46
arr_notice_cr37;2023-06-06 14:47:50;complete;td-td11_cr-cr37
arr_notice_cr42;2023-06-06 14:48:37;complete;td-td12_cr-cr42
arr_notice_cr36;2023-06-06 14:52:38;complete;td-td10_cr-cr36
arr_notice_cr44;2023-06-06 15:52:51;complete;td-td12_cr-cr44
arr_notice_cr17;2023-06-06 16:55:20;complete;td-td4_cr-cr17
arr_notice_cr21;2023-06-06 18:30:04;complete;td-td6_cr-cr21
arr_notice_cr57;2023-06-07 08:13:35;complete;td-td15_cr-cr57
arr_notice_cr32;2023-06-07 11:35:27;complete;td-td9_cr-cr32
arr_notice_cr59;2023-06-07 11:41:08;complete;td-td16_cr-cr59
arr_notice_cr56;2023-06-08 09:54:18;complete;td-td15_cr-cr56
arr_notice_cr55;2023-06-08 13:13:37;complete;td-td15_cr-cr55
arr_notice_cr39;2023-06-08 14:51:56;complete;td-td11_cr-cr39
arr_notice_cr54;2023-06-12 07:33:50;complete;td-td15_cr-cr54
arr_notice_cr69;2023-06-12 07:58:36;complete;td-td19_cr-cr69
arr_notice_cr68;2023-06-12 09:20:26;complete;td-td19_cr-cr68
arr_notice_cr22;2023-06-12 09:29:37;complete;td-td6_cr-cr22
arr_notice_cr65;2023-06-12 14:13:11;complete;td-td18_cr-cr65
arr_notice_cr75;2023-06-12 14:26:50;complete;td-td21_cr-cr75
arr_notice_cr63;2023-06-12 14:31:03;complete;td-td17_cr-cr63
arr_notice_cr67;2023-06-12 14:51:53;complete;td-td19_cr-cr67
arr_notice_cr58;2023-06-12 15:23:02;complete;td-td15_cr-cr58
arr_notice_cr60;2023-06-12 16:22:55;complete;td-td16_cr-cr60
arr_notice_cr66;2023-06-12 16:39:39;complete;td-td19_cr-cr66
arr_notice_cr40;2023-06-12 16:46:56;complete;td-td11_cr-cr40
arr_notice_cr76;2023-06-13 07:33:43;complete;td-td21_cr-cr76
arr_notice_cr70;2023-06-13 07:44:07;complete;td-td19_cr-cr70
arr_notice_cr71;2023-06-13 09:29:13;complete;td-td20_cr-cr71
arr_notice_cr23;2023-06-13 09:46:59;complete;td-td6_cr-cr23
arr_notice_cr26;2023-06-13 09:51:34;complete;td-td7_cr-cr26
arr_notice_cr62;2023-06-13 09:53:58;complete;td-td17_cr-cr62
arr_notice_cr87;2023-06-13 10:59:31;complete;td-td24_cr-cr87
arr_notice_cr84;2023-06-13 11:22:59;complete;td-td23_cr-cr84
arr_notice_cr73;2023-06-13 11:34:07;complete;td-td20_cr-cr73
arr_notice_cr8;2023-06-13 13:19:43;complete;td-td2_cr-cr8
arr_notice_cr82;2023-06-13 17:34:58;complete;td-td23_cr-cr82
arr_notice_cr81;2023-06-14 07:46:02;complete;td-td23_cr-cr81
arr_notice_cr99;2023-06-14 09:59:39;complete;td-td27_cr-cr99
arr_notice_cr74;2023-06-14 11:35:02;complete;td-td20_cr-cr74
arr_notice_cr96;2023-06-14 11:44:07;complete;td-td27_cr-cr96
arr_notice_cr98;2023-06-14 11:47:35;complete;td-td27_cr-cr98
arr_notice_cr80;2023-06-14 11:59:13;complete;td-td22_cr-cr80
arr_notice_cr97;2023-06-14 13:35:13;complete;td-td27_cr-cr97
arr_notice_cr91;2023-06-14 14:34:45;complete;td-td26_cr-cr91
arr_notice_cr78;2023-06-16 10:25:13;complete;td-td22_cr-cr78
arr_notice_cr108;2023-06-16 10:40:38;complete;td-td29_cr-cr108
arr_notice_cr94;2023-06-16 10:48:12;complete;td-td26_cr-cr94
arr_notice_cr107;2023-06-16 12:47:51;complete;td-td29_cr-cr107
arr_notice_cr104;2023-06-16 17:36:54;complete;td-td28_cr-cr104
arr_notice_cr83;2023-06-19 14:46:19;complete;td-td23_cr-cr83
arr_notice_cr31;2023-06-19 14:46:26;complete;td-td9_cr-cr31
arr_notice_cr111;2023-06-19 15:10:08;complete;td-td31_cr-cr111
arr_notice_cr110;2023-06-19 15:46:03;complete;td-td30_cr-cr110
arr_notice_cr113;2023-06-19 15:49:07;complete;td-td31_cr-cr113
arr_notice_cr79;2023-06-19 16:09:09;complete;td-td22_cr-cr79
arr_notice_cr72;2023-06-20 08:38:22;complete;td-td20_cr-cr72
arr_notice_cr109;2023-06-20 08:50:55;complete;td-td30_cr-cr109
arr_notice_cr114;2023-06-20 08:55:56;complete;td-td31_cr-cr114
arr_notice_cr85;2023-06-20 08:57:28;complete;td-td24_cr-cr85
arr_notice_cr118;2023-06-20 09:17:23;complete;td-td32_cr-cr118
arr_notice_cr106;2023-06-20 09:17:58;complete;td-td29_cr-cr106
arr_notice_cr77;2023-06-20 14:50:25;complete;td-td22_cr-cr77
arr_notice_cr103;2023-06-20 14:59:18;complete;td-td28_cr-cr103
arr_notice_cr101;2023-06-20 15:47:39;complete;td-td28_cr-cr101
arr_notice_cr124;2023-06-21 09:47:01;complete;td-td34_cr-cr124
arr_notice_cr100;2023-06-21 10:09:07;complete;td-td28_cr-cr100
arr_notice_cr95;2023-06-21 11:39:08;complete;td-td26_cr-cr95
arr_notice_cr123;2023-06-21 13:52:09;complete;td-td34_cr-cr123
arr_notice_cr127;2023-06-21 15:33:26;complete;td-td35_cr-cr127
arr_notice_cr86;2023-06-22 13:37:16;complete;td-td24_cr-cr86
arr_notice_cr102;2023-06-22 13:43:44;complete;td-td28_cr-cr102
arr_notice_cr133;2023-06-22 13:48:10;complete;td-td37_cr-cr133
arr_notice_cr89;2023-06-22 13:49:43;complete;td-td25_cr-cr89
arr_notice_cr126;2023-06-22 14:54:03;complete;td-td35_cr-cr126
arr_notice_cr130;2023-06-22 15:51:57;complete;td-td36_cr-cr130
arr_notice_cr112;2023-06-23 10:35:51;complete;td-td31_cr-cr112
arr_notice_cr116;2023-06-23 11:17:20;complete;td-td32_cr-cr116
arr_notice_cr64;2023-06-23 11:54:58;complete;td-td18_cr-cr64
arr_notice_cr115;2023-06-23 14:13:15;complete;td-td32_cr-cr115
arr_notice_cr128;2023-06-23 16:19:38;complete;td-td36_cr-cr128
arr_notice_cr139;2023-06-26 10:52:54;complete;td-td39_cr-cr139
arr_notice_cr121;2023-06-26 12:00:01;complete;td-td33_cr-cr121
arr_notice_cr120;2023-06-26 12:00:26;complete;td-td33_cr-cr120
arr_notice_cr88;2023-06-26 12:11:40;complete;td-td25_cr-cr88
arr_notice_cr125;2023-06-26 14:49:27;complete;td-td35_cr-cr125
arr_notice_cr119;2023-06-26 14:53:33;complete;td-td33_cr-cr119
arr_notice_cr131;2023-06-26 16:41:17;complete;td-td37_cr-cr131
arr_notice_cr122;2023-06-27 08:53:45;complete;td-td34_cr-cr122
arr_notice_cr132;2023-06-27 09:17:40;complete;td-td37_cr-cr132
arr_notice_cr138;2023-06-27 09:20:27;complete;td-td39_cr-cr138
arr_notice_cr148;2023-06-27 09:59:13;complete;td-td41_cr-cr148
arr_notice_cr141;2023-06-27 10:20:16;complete;td-td40_cr-cr141
arr_notice_cr90;2023-06-27 10:45:10;complete;td-td25_cr-cr90
arr_notice_cr143;2023-06-27 10:55:12;complete;td-td40_cr-cr143
arr_notice_cr142;2023-06-27 11:03:53;complete;td-td40_cr-cr142
arr_notice_cr105;2023-06-27 11:12:29;complete;td-td29_cr-cr105
arr_notice_cr147;2023-06-27 14:28:36;complete;td-td41_cr-cr147
arr_notice_cr150;2023-06-27 14:39:30;complete;td-td42_cr-cr150
arr_notice_cr151;2023-06-27 14:40:47;complete;td-td42_cr-cr151
arr_notice_cr149;2023-06-27 15:11:10;complete;td-td42_cr-cr149
arr_notice_cr135;2023-06-27 15:34:00;complete;td-td38_cr-cr135
arr_notice_cr137;2023-06-27 15:43:54;complete;td-td38_cr-cr137
arr_notice_cr93;2023-06-27 17:11:46;complete;td-td26_cr-cr93
arr_notice_cr134;2023-06-27 17:50:23;complete;td-td38_cr-cr134
arr_notice_cr159;2023-06-28 11:57:51;complete;td-td45_cr-cr159
arr_notice_cr145;2023-06-28 12:18:57;complete;td-td41_cr-cr145
arr_notice_cr146;2023-06-28 12:37:36;complete;td-td41_cr-cr146
arr_notice_cr92;2023-06-28 13:52:40;complete;td-td26_cr-cr92
arr_notice_cr161;2023-06-28 15:27:25;complete;td-td46_cr-cr161
arr_notice_cr136;2023-06-29 08:40:52;complete;td-td38_cr-cr136
arr_notice_cr154;2023-06-30 09:37:33;complete;td-td44_cr-cr154
arr_notice_cr153;2023-06-30 09:39:57;complete;td-td43_cr-cr153
arr_notice_cr129;2023-06-30 13:28:35;complete;td-td36_cr-cr129
arr_notice_cr140;2023-06-30 16:51:03;complete;td-td40_cr-cr140
arr_notice_cr144;2023-07-03 15:50:54;complete;td-td41_cr-cr144
arr_notice_cr167;2023-07-03 16:12:48;complete;td-td47_cr-cr167
arr_notice_cr157;2023-07-03 16:45:59;complete;td-td45_cr-cr157
arr_notice_cr117;2023-07-03 17:17:55;complete;td-td32_cr-cr117
arr_notice_cr162;2023-07-04 10:04:44;complete;td-td46_cr-cr162
arr_notice_cr168;2023-07-04 10:18:35;complete;td-td47_cr-cr168
arr_notice_cr171;2023-07-04 14:40:24;complete;td-td48_cr-cr171
arr_notice_cr182;2023-07-04 14:55:47;complete;td-td51_cr-cr182
arr_notice_cr152;2023-07-04 15:34:52;complete;td-td43_cr-cr152
arr_notice_cr163;2023-07-04 15:47:49;complete;td-td46_cr-cr163
arr_notice_cr158;2023-07-04 16:13:59;complete;td-td45_cr-cr158
arr_notice_cr173;2023-07-04 16:18:49;complete;td-td49_cr-cr173
arr_notice_cr183;2023-07-05 14:26:31;complete;td-td51_cr-cr183
arr_notice_cr184;2023-07-05 15:01:57;complete;td-td52_cr-cr184
arr_notice_cr166;2023-07-05 15:18:35;complete;td-td47_cr-cr166
arr_notice_cr185;2023-07-05 15:43:17;complete;td-td52_cr-cr185
arr_notice_cr170;2023-07-05 16:20:21;complete;td-td48_cr-cr170
arr_notice_cr178;2023-07-05 16:41:55;complete;td-td50_cr-cr178
arr_notice_cr165;2023-07-05 18:40:27;complete;td-td46_cr-cr165
arr_notice_cr193;2023-07-06 10:53:12;complete;td-td55_cr-cr193
arr_notice_cr187;2023-07-06 11:52:25;complete;td-td53_cr-cr187
arr_notice_cr194;2023-07-06 13:47:05;complete;td-td56_cr-cr194
arr_notice_cr175;2023-07-06 14:22:11;complete;td-td49_cr-cr175
arr_notice_cr181;2023-07-06 14:47:58;complete;td-td50_cr-cr181
arr_notice_cr195;2023-07-06 15:01:43;complete;td-td56_cr-cr195
arr_notice_cr196;2023-07-06 16:18:06;complete;td-td56_cr-cr196
arr_notice_cr169;2023-07-07 11:20:59;complete;td-td47_cr-cr169
arr_notice_cr179;2023-07-07 14:23:02;complete;td-td50_cr-cr179
