ocel_id;ocel_time;lifecycle;instance_id
unload_truck_cr5_assign;2023-05-24 09:40:38;assign;td-td1_cr-cr5
unload_truck_cr5_start;2023-05-24 09:40:38;start;td-td1_cr-cr5
unload_truck_cr5_complete;2023-05-24 09:40:41;complete;td-td1_cr-cr5
unload_truck_cr6_assign;2023-05-25 16:27:40;assign;td-td2_cr-cr6
unload_truck_cr6_start;2023-05-25 16:27:40;start;td-td2_cr-cr6
unload_truck_cr6_complete;2023-05-25 16:27:48;complete;td-td2_cr-cr6
unload_truck_cr7_assign;2023-05-25 16:55:25;assign;td-td2_cr-cr7
unload_truck_cr7_start;2023-05-25 16:55:25;start;td-td2_cr-cr7
unload_truck_cr7_complete;2023-05-25 16:55:30;complete;td-td2_cr-cr7
unload_truck_cr16_assign;2023-05-29 15:09:24;assign;td-td4_cr-cr16
unload_truck_cr16_start;2023-05-29 15:09:24;start;td-td4_cr-cr16
unload_truck_cr16_complete;2023-05-29 15:09:31;complete;td-td4_cr-cr16
unload_truck_cr12_assign;2023-05-29 15:29:11;assign;td-td3_cr-cr12
unload_truck_cr12_start;2023-05-29 15:29:11;start;td-td3_cr-cr12
unload_truck_cr12_complete;2023-05-29 15:29:14;complete;td-td3_cr-cr12
unload_truck_cr13_assign;2023-05-29 15:32:29;assign;td-td3_cr-cr13
unload_truck_cr13_start;2023-05-29 15:32:29;start;td-td3_cr-cr13
unload_truck_cr13_complete;2023-05-29 15:32:40;complete;td-td3_cr-cr13
unload_truck_cr9_assign;2023-05-29 16:43:17;assign;td-td2_cr-cr9
unload_truck_cr9_start;2023-05-29 16:43:17;start;td-td2_cr-cr9
unload_truck_cr9_complete;2023-05-29 16:43:23;complete;td-td2_cr-cr9
unload_truck_cr18_assign;2023-05-30 09:17:49;assign;td-td4_cr-cr18
unload_truck_cr18_start;2023-05-30 09:17:49;start;td-td4_cr-cr18
unload_truck_cr18_complete;2023-05-30 09:17:53;complete;td-td4_cr-cr18
unload_truck_cr14_assign;2023-05-30 09:50:50;assign;td-td3_cr-cr14
unload_truck_cr14_start;2023-05-30 09:50:50;start;td-td3_cr-cr14
unload_truck_cr14_complete;2023-05-30 09:50:57;complete;td-td3_cr-cr14
unload_truck_cr10_assign;2023-05-30 11:29:38;assign;td-td2_cr-cr10
unload_truck_cr10_start;2023-05-30 11:29:38;start;td-td2_cr-cr10
unload_truck_cr10_complete;2023-05-30 11:29:42;complete;td-td2_cr-cr10
unload_truck_cr30_assign;2023-05-30 15:19:30;assign;td-td8_cr-cr30
unload_truck_cr30_start;2023-05-30 15:19:30;start;td-td8_cr-cr30
unload_truck_cr30_complete;2023-05-30 15:19:38;complete;td-td8_cr-cr30
unload_truck_cr29_assign;2023-05-30 15:47:29;assign;td-td8_cr-cr29
unload_truck_cr29_start;2023-05-30 15:47:29;start;td-td8_cr-cr29
unload_truck_cr29_complete;2023-05-30 15:47:34;complete;td-td8_cr-cr29
unload_truck_cr4_assign;2023-05-31 10:51:30;assign;td-td1_cr-cr4
unload_truck_cr4_start;2023-05-31 10:51:30;start;td-td1_cr-cr4
unload_truck_cr4_complete;2023-05-31 10:51:32;complete;td-td1_cr-cr4
unload_truck_cr19_assign;2023-05-31 11:05:33;assign;td-td5_cr-cr19
unload_truck_cr19_start;2023-05-31 11:05:33;start;td-td5_cr-cr19
unload_truck_cr19_complete;2023-05-31 11:05:35;complete;td-td5_cr-cr19
unload_truck_cr41_assign;2023-05-31 17:58:46;assign;td-td11_cr-cr41
unload_truck_cr41_start;2023-05-31 17:58:46;start;td-td11_cr-cr41
unload_truck_cr41_complete;2023-05-31 17:58:50;complete;td-td11_cr-cr41
unload_truck_cr43_assign;2023-06-01 08:55:03;assign;td-td12_cr-cr43
unload_truck_cr43_start;2023-06-01 08:55:03;start;td-td12_cr-cr43
unload_truck_cr43_complete;2023-06-01 08:55:06;complete;td-td12_cr-cr43
unload_truck_cr11_assign;2023-06-01 09:57:39;assign;td-td3_cr-cr11
unload_truck_cr11_start;2023-06-01 09:57:39;start;td-td3_cr-cr11
unload_truck_cr11_complete;2023-06-01 09:57:49;complete;td-td3_cr-cr11
unload_truck_cr2_assign;2023-06-01 10:52:01;assign;td-td1_cr-cr2
unload_truck_cr2_start;2023-06-01 10:52:01;start;td-td1_cr-cr2
unload_truck_cr2_complete;2023-06-01 10:52:07;complete;td-td1_cr-cr2
unload_truck_cr35_assign;2023-06-01 13:30:47;assign;td-td10_cr-cr35
unload_truck_cr35_start;2023-06-01 13:30:47;start;td-td10_cr-cr35
unload_truck_cr35_complete;2023-06-01 13:30:52;complete;td-td10_cr-cr35
unload_truck_cr20_assign;2023-06-01 14:10:12;assign;td-td5_cr-cr20
unload_truck_cr20_start;2023-06-01 14:10:12;start;td-td5_cr-cr20
unload_truck_cr20_complete;2023-06-01 14:10:21;complete;td-td5_cr-cr20
unload_truck_cr1_assign;2023-06-01 17:02:15;assign;td-td1_cr-cr1
unload_truck_cr1_start;2023-06-01 17:02:15;start;td-td1_cr-cr1
unload_truck_cr1_complete;2023-06-01 17:02:28;complete;td-td1_cr-cr1
unload_truck_cr34_assign;2023-06-02 08:55:31;assign;td-td9_cr-cr34
unload_truck_cr34_start;2023-06-02 08:55:31;start;td-td9_cr-cr34
unload_truck_cr34_complete;2023-06-02 08:55:35;complete;td-td9_cr-cr34
unload_truck_cr3_assign;2023-06-02 09:57:13;assign;td-td1_cr-cr3
unload_truck_cr3_start;2023-06-02 09:57:13;start;td-td1_cr-cr3
unload_truck_cr3_complete;2023-06-02 09:57:15;complete;td-td1_cr-cr3
unload_truck_cr28_assign;2023-06-02 11:13:51;assign;td-td8_cr-cr28
unload_truck_cr28_start;2023-06-02 11:13:51;start;td-td8_cr-cr28
unload_truck_cr28_complete;2023-06-02 11:13:59;complete;td-td8_cr-cr28
unload_truck_cr45_assign;2023-06-02 12:40:19;assign;td-td13_cr-cr45
unload_truck_cr45_start;2023-06-02 12:40:19;start;td-td13_cr-cr45
unload_truck_cr45_complete;2023-06-02 13:40:29;complete;td-td13_cr-cr45
unload_truck_cr48_assign;2023-06-02 16:25:11;assign;td-td13_cr-cr48
unload_truck_cr48_start;2023-06-02 16:25:11;start;td-td13_cr-cr48
unload_truck_cr48_complete;2023-06-02 16:25:18;complete;td-td13_cr-cr48
unload_truck_cr53_assign;2023-06-05 11:37:18;assign;td-td14_cr-cr53
unload_truck_cr53_start;2023-06-05 11:37:18;start;td-td14_cr-cr53
unload_truck_cr53_complete;2023-06-05 11:37:28;complete;td-td14_cr-cr53
unload_truck_cr27_assign;2023-06-05 14:06:28;assign;td-td7_cr-cr27
unload_truck_cr27_start;2023-06-05 14:06:28;start;td-td7_cr-cr27
unload_truck_cr27_complete;2023-06-05 14:06:37;complete;td-td7_cr-cr27
unload_truck_cr47_assign;2023-06-05 14:54:35;assign;td-td13_cr-cr47
unload_truck_cr47_start;2023-06-05 14:54:35;start;td-td13_cr-cr47
unload_truck_cr47_complete;2023-06-05 14:54:45;complete;td-td13_cr-cr47
unload_truck_cr52_assign;2023-06-05 15:11:48;assign;td-td14_cr-cr52
unload_truck_cr52_start;2023-06-05 15:11:48;start;td-td14_cr-cr52
unload_truck_cr52_complete;2023-06-05 15:11:53;complete;td-td14_cr-cr52
unload_truck_cr33_assign;2023-06-05 16:43:03;assign;td-td9_cr-cr33
unload_truck_cr33_start;2023-06-05 16:43:03;start;td-td9_cr-cr33
unload_truck_cr33_complete;2023-06-05 16:43:12;complete;td-td9_cr-cr33
unload_truck_cr50_assign;2023-06-06 08:51:39;assign;td-td14_cr-cr50
unload_truck_cr50_start;2023-06-06 08:51:39;start;td-td14_cr-cr50
unload_truck_cr50_complete;2023-06-06 08:51:50;complete;td-td14_cr-cr50
unload_truck_cr51_assign;2023-06-06 09:56:18;assign;td-td14_cr-cr51
unload_truck_cr51_start;2023-06-06 09:56:18;start;td-td14_cr-cr51
unload_truck_cr51_complete;2023-06-06 09:56:21;complete;td-td14_cr-cr51
unload_truck_cr49_assign;2023-06-06 11:20:54;assign;td-td14_cr-cr49
unload_truck_cr49_start;2023-06-06 11:20:54;start;td-td14_cr-cr49
unload_truck_cr49_complete;2023-06-06 11:20:57;complete;td-td14_cr-cr49
unload_truck_cr24_assign;2023-06-06 11:31:14;assign;td-td6_cr-cr24
unload_truck_cr24_start;2023-06-06 11:31:14;start;td-td6_cr-cr24
unload_truck_cr24_complete;2023-06-06 11:31:17;complete;td-td6_cr-cr24
unload_truck_cr38_assign;2023-06-06 11:42:43;assign;td-td11_cr-cr38
unload_truck_cr38_start;2023-06-06 11:42:43;start;td-td11_cr-cr38
unload_truck_cr38_complete;2023-06-06 11:42:48;complete;td-td11_cr-cr38
unload_truck_cr15_assign;2023-06-06 12:09:40;assign;td-td4_cr-cr15
unload_truck_cr15_start;2023-06-06 12:09:40;start;td-td4_cr-cr15
unload_truck_cr15_complete;2023-06-06 13:09:52;complete;td-td4_cr-cr15
unload_truck_cr25_assign;2023-06-06 14:28:40;assign;td-td6_cr-cr25
unload_truck_cr25_start;2023-06-06 14:28:40;start;td-td6_cr-cr25
unload_truck_cr25_complete;2023-06-06 14:28:46;complete;td-td6_cr-cr25
unload_truck_cr61_assign;2023-06-06 14:37:59;assign;td-td17_cr-cr61
unload_truck_cr61_start;2023-06-06 14:37:59;start;td-td17_cr-cr61
unload_truck_cr61_complete;2023-06-06 14:38:00;complete;td-td17_cr-cr61
unload_truck_cr46_assign;2023-06-06 14:44:35;assign;td-td13_cr-cr46
unload_truck_cr46_start;2023-06-06 14:44:35;start;td-td13_cr-cr46
unload_truck_cr46_complete;2023-06-06 14:44:37;complete;td-td13_cr-cr46
unload_truck_cr37_assign;2023-06-06 14:48:24;assign;td-td11_cr-cr37
unload_truck_cr37_start;2023-06-06 14:48:24;start;td-td11_cr-cr37
