ocel_id;ocel_time;lifecycle;instance_id
weigh_cr5_start;2023-05-24 09:40:41;start;td-td1_cr-cr5
weigh_cr5_complete;2023-05-24 09:42:47;complete;td-td1_cr-cr5
weigh_cr6_start;2023-05-25 16:27:48;start;td-td2_cr-cr6
weigh_cr6_complete;2023-05-25 16:34:34;complete;td-td2_cr-cr6
weigh_cr7_start;2023-05-25 16:55:30;start;td-td2_cr-cr7
weigh_cr7_complete;2023-05-25 16:57:04;complete;td-td2_cr-cr7
weigh_cr16_start;2023-05-29 15:09:31;start;td-td4_cr-cr16
weigh_cr16_complete;2023-05-29 15:10:48;complete;td-td4_cr-cr16
weigh_cr12_start;2023-05-29 15:29:14;start;td-td3_cr-cr12
weigh_cr12_complete;2023-05-29 15:31:41;complete;td-td3_cr-cr12
weigh_cr13_start;2023-05-29 15:32:40;start;td-td3_cr-cr13
weigh_cr13_complete;2023-05-29 15:35:10;complete;td-td3_cr-cr13
weigh_cr9_start;2023-05-29 16:43:23;start;td-td2_cr-cr9
weigh_cr9_complete;2023-05-29 16:46:15;complete;td-td2_cr-cr9
weigh_cr18_start;2023-05-30 09:17:53;start;td-td4_cr-cr18
weigh_cr18_complete;2023-05-30 09:18:27;complete;td-td4_cr-cr18
weigh_cr14_start;2023-05-30 09:50:57;start;td-td3_cr-cr14
weigh_cr14_complete;2023-05-30 09:54:03;complete;td-td3_cr-cr14
weigh_cr10_start;2023-05-30 11:29:42;start;td-td2_cr-cr10
weigh_cr10_complete;2023-05-30 11:32:07;complete;td-td2_cr-cr10
weigh_cr30_start;2023-05-30 15:19:38;start;td-td8_cr-cr30
weigh_cr30_complete;2023-05-30 15:23:47;complete;td-td8_cr-cr30
weigh_cr29_start;2023-05-30 15:47:34;start;td-td8_cr-cr29
weigh_cr29_complete;2023-05-30 15:52:34;complete;td-td8_cr-cr29
weigh_cr4_start;2023-05-31 10:51:32;start;td-td1_cr-cr4
weigh_cr4_complete;2023-05-31 10:54:20;complete;td-td1_cr-cr4
weigh_cr19_start;2023-05-31 11:05:35;start;td-td5_cr-cr19
weigh_cr19_complete;2023-05-31 11:09:16;complete;td-td5_cr-cr19
weigh_cr41_start;2023-05-31 17:58:50;start;td-td11_cr-cr41
weigh_cr41_complete;2023-05-31 19:42:58;complete;td-td11_cr-cr41
weigh_cr43_start;2023-06-01 08:55:06;start;td-td12_cr-cr43
weigh_cr43_complete;2023-06-01 09:57:05;complete;td-td12_cr-cr43
weigh_cr11_start;2023-06-01 09:57:49;start;td-td3_cr-cr11
weigh_cr2_start;2023-06-01 10:52:07;start;td-td1_cr-cr2
weigh_cr2_complete;2023-06-01 10:55:07;complete;td-td1_cr-cr2
weigh_cr11_complete;2023-06-01 11:01:08;complete;td-td3_cr-cr11
weigh_cr35_start;2023-06-01 13:30:52;start;td-td10_cr-cr35
weigh_cr35_complete;2023-06-01 13:32:27;complete;td-td10_cr-cr35
weigh_cr20_start;2023-06-01 14:10:21;start;td-td5_cr-cr20
weigh_cr20_complete;2023-06-01 14:11:03;complete;td-td5_cr-cr20
weigh_cr1_start;2023-06-01 17:02:28;start;td-td1_cr-cr1
weigh_cr1_complete;2023-06-01 17:07:01;complete;td-td1_cr-cr1
weigh_cr34_start;2023-06-02 08:55:35;start;td-td9_cr-cr34
weigh_cr3_start;2023-06-02 09:57:15;start;td-td1_cr-cr3
weigh_cr34_complete;2023-06-02 09:58:13;complete;td-td9_cr-cr34
weigh_cr3_complete;2023-06-02 10:57:27;complete;td-td1_cr-cr3
weigh_cr28_start;2023-06-02 11:13:59;start;td-td8_cr-cr28
weigh_cr28_complete;2023-06-02 11:19:10;complete;td-td8_cr-cr28
weigh_cr45_start;2023-06-02 13:40:29;start;td-td13_cr-cr45
weigh_cr45_complete;2023-06-02 13:43:27;complete;td-td13_cr-cr45
weigh_cr48_start;2023-06-02 16:25:18;start;td-td13_cr-cr48
weigh_cr48_complete;2023-06-02 16:26:42;complete;td-td13_cr-cr48
weigh_cr53_start;2023-06-05 11:37:28;start;td-td14_cr-cr53
weigh_cr53_complete;2023-06-05 11:38:24;complete;td-td14_cr-cr53
weigh_cr27_start;2023-06-05 14:06:37;start;td-td7_cr-cr27
weigh_cr27_complete;2023-06-05 14:08:34;complete;td-td7_cr-cr27
weigh_cr47_start;2023-06-05 14:54:45;start;td-td13_cr-cr47
weigh_cr47_complete;2023-06-05 14:59:04;complete;td-td13_cr-cr47
weigh_cr52_start;2023-06-05 15:11:53;start;td-td14_cr-cr52
weigh_cr52_complete;2023-06-05 15:13:48;complete;td-td14_cr-cr52
weigh_cr33_start;2023-06-05 16:43:12;start;td-td9_cr-cr33
weigh_cr33_complete;2023-06-05 16:46:03;complete;td-td9_cr-cr33
weigh_cr50_start;2023-06-06 08:51:50;start;td-td14_cr-cr50
weigh_cr50_complete;2023-06-06 09:53:06;complete;td-td14_cr-cr50
weigh_cr51_start;2023-06-06 09:56:21;start;td-td14_cr-cr51
weigh_cr51_complete;2023-06-06 09:59:37;complete;td-td14_cr-cr51
weigh_cr49_start;2023-06-06 11:20:57;start;td-td14_cr-cr49
weigh_cr49_complete;2023-06-06 11:23:07;complete;td-td14_cr-cr49
