ocel_event_id;ocel_object_id;ocel_qualifier
14482_enter_Loading Bay_vh1;vh1;moved_object
14482_enter_Loading Bay_vh1;loc_Loading_Bay;location
14483_enter_Forklift Depot_fl1;fl1;moved_object
14483_enter_Forklift Depot_fl1;loc_Forklift_Depot;location
14484_enter_Forklift Depot_fl3;fl3;moved_object
14484_enter_Forklift Depot_fl3;loc_Forklift_Depot;location
14485_enter_Forklift Depot_fl2;fl2;moved_object
14485_enter_Forklift Depot_fl2;loc_Forklift_Depot;location
14486_enter_Loading Bay_vh2;vh2;moved_object
14486_enter_Loading Bay_vh2;loc_Loading_Bay;location
14487_enter_Loading Bay_vh3;vh3;moved_object
14487_enter_Loading Bay_vh3;loc_Loading_Bay;location
14488_enter_Loading Bay_vh4;vh4;moved_object
14488_enter_Loading Bay_vh4;loc_Loading_Bay;location
14489_enter_Loading Bay_vh5;vh5;moved_object
14489_enter_Loading Bay_vh5;loc_Loading_Bay;location
14490_enter_Loading Bay_vh6;vh6;moved_object
14490_enter_Loading Bay_vh6;loc_Loading_Bay;location
14491_enter_Loading Bay_vh7;vh7;moved_object
14491_enter_Loading Bay_vh7;loc_Loading_Bay;location
14492_enter_Loading Bay_vh8;vh8;moved_object
14492_enter_Loading Bay_vh8;loc_Loading_Bay;location
reg_co1;co1;registered CO
create_td1;co1;TD created for CO
create_td1;td1;created TD
reg_co2;co2;registered CO
book_vehs_td1;td1;VHs booked for TD
book_vehs_td1;vh5;booked VHs
14493_enter_Loading Bay_vh9;vh9;moved_object
14493_enter_Loading Bay_vh9;loc_Loading_Bay;location
order_crs_td1;td1;ordered for TD
order_crs_td1;cr1;CRs ordered
order_crs_td1;cr2;CRs ordered
order_crs_td1;cr3;CRs ordered
order_crs_td1;cr4;CRs ordered
order_crs_td1;cr5;CRs ordered
reg_co3;co3;registered CO
reg_co4;co4;registered CO
pick_cr5_start;cr5;CR picked
pick_cr5_start;tr2;TR moved
collect_hu1_complete;hu1;HU collected
14494_leave_Truck Depot_tr2;tr2;moved_object
