ocel_id;ocel_type
loc_Truck_Depot;Location
loc_Terminal;Location
loc_Terminal_North;Location
loc_Terminal_South;Location
loc_Forklift_Depot;Location
loc_Storage;Location
loc_Loading_Bay;Location
loc_Weighbridge;Location
loc_Dispatch_Center;Location
loc_Supplier;Location
loc_Supplier_Loading_Area;Location
loc_Road_to_Terminal;Location
loc_Stock;Location
loc_On_Vehicle;Location
loc_Outbound_Route;Location
tr1;Truck
tr4;Truck
fl1;Forklift
fl3;Forklift
fl2;Forklift
tr3;Truck
tr6;Truck
tr2;Truck
tr5;Truck
co1;Customer Order
td1;Transport Document
co2;Customer Order
co3;Customer Order
co4;Customer Order
hu1;Handling Unit
hu2;Handling Unit
cr5;Container
co5;Customer Order
co6;Customer Order
td2;Transport Document
td3;Transport Document
hu6;Handling Unit
cr6;Container
hu4;Handling Unit
hu7;Handling Unit
co7;Customer Order
hu14;Handling Unit
hu11;Handling Unit
hu5;Handling Unit
hu10;Handling Unit
hu3;Handling Unit
hu8;Handling Unit
hu12;Handling Unit
hu13;Handling Unit
hu9;Handling Unit
cr7;Container
co8;Customer Order
td4;Transport Document
co9;Customer Order
hu17;Handling Unit
cr16;Container
cr12;Container
hu20;Handling Unit
cr13;Container
cr9;Container
hu34;Handling Unit
hu32;Handling Unit
td5;Transport Document
hu37;Handling Unit
hu25;Handling Unit
co10;Customer Order
hu15;Handling Unit
td6;Transport Document
hu18;Handling Unit
hu35;Handling Unit
hu28;Handling Unit
hu33;Handling Unit
hu36;Handling Unit
hu24;Handling Unit
hu31;Handling Unit
hu21;Handling Unit
hu19;Handling Unit
hu29;Handling Unit
hu26;Handling Unit
hu22;Handling Unit
hu38;Handling Unit
hu30;Handling Unit
hu23;Handling Unit
hu27;Handling Unit
hu16;Handling Unit
td7;Transport Document
hu39;Handling Unit
hu40;Handling Unit
cr18;Container
co11;Customer Order
hu44;Handling Unit
hu41;Handling Unit
hu46;Handling Unit
hu43;Handling Unit
hu42;Handling Unit
hu45;Handling Unit
cr14;Container
td8;Transport Document
hu51;Handling Unit
hu49;Handling Unit
hu47;Handling Unit
hu48;Handling Unit
hu50;Handling Unit
hu52;Handling Unit
cr10;Container
vh1;Vehicle
co12;Customer Order
hu56;Handling Unit
cr29;Container
hu58;Handling Unit
cr30;Container
hu57;Handling Unit
hu55;Handling Unit
hu60;Handling Unit
hu53;Handling Unit
hu61;Handling Unit
hu63;Handling Unit
hu62;Handling Unit
hu54;Handling Unit
hu59;Handling Unit
td9;Transport Document
td10;Transport Document
co13;Customer Order
hu65;Handling Unit
hu64;Handling Unit
hu66;Handling Unit
hu69;Handling Unit
hu68;Handling Unit
cr19;Container
cr4;Container
hu73;Handling Unit
hu72;Handling Unit
hu67;Handling Unit
hu75;Handling Unit
hu70;Handling Unit
hu74;Handling Unit
hu71;Handling Unit
td11;Transport Document
co14;Customer Order
td12;Transport Document
td13;Transport Document
hu76;Handling Unit
hu78;Handling Unit
hu79;Handling Unit
cr41;Container
hu77;Handling Unit
hu82;Handling Unit
hu84;Handling Unit
hu83;Handling Unit
cr43;Container
hu85;Handling Unit
hu80;Handling Unit
hu81;Handling Unit
co15;Customer Order
hu91;Handling Unit
cr11;Container
hu95;Handling Unit
hu89;Handling Unit
cr2;Container
cr35;Container
hu98;Handling Unit
hu101;Handling Unit
hu93;Handling Unit
hu102;Handling Unit
hu99;Handling Unit
hu92;Handling Unit
hu94;Handling Unit
hu87;Handling Unit
hu100;Handling Unit
hu88;Handling Unit
hu97;Handling Unit
hu86;Handling Unit
hu103;Handling Unit
hu96;Handling Unit
hu90;Handling Unit
hu104;Handling Unit
cr20;Container
hu105;Handling Unit
co16;Customer Order
cr1;Container
hu109;Handling Unit
hu108;Handling Unit
hu106;Handling Unit
hu110;Handling Unit
hu107;Handling Unit
hu113;Handling Unit
hu111;Handling Unit
cr34;Container
hu112;Handling Unit
co17;Customer Order
hu117;Handling Unit
hu122;Handling Unit
hu123;Handling Unit
hu121;Handling Unit
cr3;Container
hu115;Handling Unit
hu120;Handling Unit
cr28;Container
hu125;Handling Unit
hu119;Handling Unit
hu116;Handling Unit
hu114;Handling Unit
hu124;Handling Unit
hu118;Handling Unit
hu129;Handling Unit
hu128;Handling Unit
cr45;Container
hu131;Handling Unit
hu126;Handling Unit
hu130;Handling Unit
hu127;Handling Unit
vh2;Vehicle
td14;Transport Document
hu134;Handling Unit
hu132;Handling Unit
hu136;Handling Unit
cr48;Container
hu137;Handling Unit
co18;Customer Order
td15;Transport Document
hu135;Handling Unit
hu133;Handling Unit
hu139;Handling Unit
hu140;Handling Unit
hu138;Handling Unit
hu142;Handling Unit
cr33;Container
cr51;Container
cr47;Container
hu149;Handling Unit
hu145;Handling Unit
cr52;Container
cr53;Container
hu153;Handling Unit
hu148;Handling Unit
hu156;Handling Unit
cr27;Container
hu165;Handling Unit
hu147;Handling Unit
hu144;Handling Unit
co19;Customer Order
hu159;Handling Unit
hu158;Handling Unit
hu150;Handling Unit
hu162;Handling Unit
hu161;Handling Unit
hu155;Handling Unit
hu160;Handling Unit
hu166;Handling Unit
hu154;Handling Unit
hu170;Handling Unit
hu152;Handling Unit
cr25;Container
hu173;Handling Unit
hu146;Handling Unit
td16;Transport Document
hu157;Handling Unit
hu151;Handling Unit
hu143;Handling Unit
td17;Transport Document
cr49;Container
cr50;Container
hu168;Handling Unit
hu180;Handling Unit
hu186;Handling Unit
hu182;Handling Unit
hu188;Handling Unit
hu189;Handling Unit
cr15;Container
hu184;Handling Unit
hu175;Handling Unit
hu141;Handling Unit
hu174;Handling Unit
hu177;Handling Unit
hu167;Handling Unit
hu190;Handling Unit
hu172;Handling Unit
hu183;Handling Unit
hu192;Handling Unit
co20;Customer Order
cr24;Container
hu193;Handling Unit
hu196;Handling Unit
hu181;Handling Unit
hu198;Handling Unit
hu163;Handling Unit
hu194;Handling Unit
hu197;Handling Unit
hu185;Handling Unit
hu176;Handling Unit
hu178;Handling Unit
hu191;Handling Unit
hu164;Handling Unit
hu171;Handling Unit
hu195;Handling Unit
cr38;Container
hu199;Handling Unit
hu201;Handling Unit
hu187;Handling Unit
hu204;Handling Unit
cr61;Container
vh3;Vehicle
hu209;Handling Unit
hu179;Handling Unit
hu200;Handling Unit
co21;Customer Order
hu206;Handling Unit
hu214;Handling Unit
hu203;Handling Unit
hu210;Handling Unit
hu202;Handling Unit
hu212;Handling Unit
hu216;Handling Unit
cr46;Container
hu208;Handling Unit
cr36;Container
hu215;Handling Unit
hu211;Handling Unit
hu207;Handling Unit
hu213;Handling Unit
hu217;Handling Unit
cr37;Container
hu221;Handling Unit
hu218;Handling Unit
hu219;Handling Unit
