ocel_id;ocel_time;ocel_changed_field;Amount of Goods
co1;2023-05-22 13:54:42;;1300
co2;2023-05-22 20:33:30;;1200
co3;2023-05-23 14:14:57;;1500
co4;2023-05-23 20:34:15;;1000
co5;2023-05-24 14:16:04;;1500
co6;2023-05-24 20:37:36;;350
co7;2023-05-25 14:21:06;;1050
co8;2023-05-25 20:52:42;;350
co9;2023-05-26 17:01:20;;450
co10;2023-05-29 11:50:58;;650
co11;2023-05-29 18:06:38;;850
co12;2023-05-30 12:07:58;;1400
co13;2023-05-30 17:40:38;;1200
co14;2023-05-31 12:15:58;;450
co15;2023-05-31 17:56:38;;1500
co16;2023-06-01 12:47:58;;1400
co17;2023-06-01 19:00:38;;1000
co18;2023-06-02 14:49:13;;1350
co19;2023-06-05 11:06:22;;800
co20;2023-06-05 16:37:26;;500
co21;2023-06-06 11:09:34;;1000
co22;2023-06-06 16:43:50;;900
co23;2023-06-07 11:22:22;;450
co24;2023-06-07 17:09:26;;1350
co25;2023-06-08 11:13:34;;950
co26;2023-06-08 16:51:50;;650
co27;2023-06-09 12:36:53;;1150
co28;2023-06-12 09:05:55;;1500
co29;2023-06-12 14:36:32;;700
co30;2023-06-13 08:39:00;;1050
co31;2023-06-13 14:53:12;;550
co32;2023-06-14 09:29:00;;1100
co33;2023-06-14 15:22:42;;650
co34;2023-06-15 09:40:06;;750
co35;2023-06-15 15:44:54;;1050
co36;2023-06-16 10:54:19;;400
co37;2023-06-16 19:32:29;;850
co38;2023-06-19 13:56:33;;950
co39;2023-06-19 20:39:03;;1500
co40;2023-06-20 14:23:16;;700
co41;2023-06-20 20:59:12;;700
co42;2023-06-21 14:53:30;;1050
co43;2023-06-22 09:29:54;;500
co44;2023-06-22 15:24:30;;1450
co45;2023-06-23 10:04:47;;550
co46;2023-06-23 17:53:25;;1500
co47;2023-06-26 13:19:30;;850
co48;2023-06-26 19:03:42;;1100
co49;2023-06-27 13:00:15;;1000
co50;2023-06-27 18:25:12;;950
co51;2023-06-28 12:45:06;;500
co52;2023-06-28 18:54:54;;1300
co53;2023-06-29 13:44:30;;450
co54;2023-06-29 20:02:54;;1450
co55;2023-06-30 15:35:58;;1450
co56;2023-07-03 11:25:50;;550
co57;2023-07-03 17:16:22;;400
co58;2023-07-04 11:27:26;;550
co59;2023-07-04 17:19:34;;700
co60;2023-07-05 11:33:50;;1350
co61;2023-07-05 17:32:22;;900
co62;2023-07-06 11:59:26;;1150
co63;2023-07-06 18:23:34;;1100
co64;2023-07-07 14:19:39;;550
co65;2023-07-10 10:16:06;;1500
co66;2023-07-10 15:56:54;;1250
co67;2023-07-11 10:48:30;;300
co68;2023-07-11 17:01:42;;900
co69;2023-07-12 10:58:06;;1400
co70;2023-07-12 17:20:54;;1400
co71;2023-07-13 11:36:30;;600
co72;2023-07-13 17:37:42;;1050
co73;2023-07-14 13:28:16;;600
co74;2023-07-17 09:48:45;;650
co75;2023-07-17 16:02:12;;300
co76;2023-07-18 09:59:06;;750
co77;2023-07-18 16:22:54;;1250
co78;2023-07-19 10:40:30;;650
co79;2023-07-19 16:45:42;;1300
co80;2023-07-20 11:26:06;;900
co81;2023-07-20 17:16:54;;550
co82;2023-07-21 12:37:45;;700
co83;2023-07-24 09:08:00;;800
co84;2023-07-24 14:40:42;;1150
co85;2023-07-25 08:51:30;;700
co86;2023-07-25 15:11:57;;750
co87;2023-07-26 09:18:36;;1000
co88;2023-07-26 15:01:54;;1300
co89;2023-07-27 08:55:06;;500
co90;2023-07-27 15:17:21;;350
co91;2023-07-28 09:47:25;;1200
co92;2023-07-28 18:18:41;;450
co93;2023-07-31 13:02:28;;800
co94;2023-07-31 18:29:38;;600
co95;2023-08-01 12:53:58;;300
co96;2023-08-01 19:12:38;;1250
co97;2023-08-02 13:13:39;;1450
co98;2023-08-02 18:52:00;;1500
co99;2023-08-03 13:38:42;;550
co100;2023-08-03 19:45:30;;650
