ocel_id;ocel_time;ocel_changed_field
hu1;2023-05-23 22:44:33;
hu2;2023-05-24 07:50:36;
hu6;2023-05-25 11:52:51;
hu4;2023-05-25 11:57:48;
hu7;2023-05-25 13:59:17;
hu14;2023-05-25 15:01:28;
hu11;2023-05-25 15:02:26;
hu5;2023-05-25 15:05:08;
hu10;2023-05-25 15:12:29;
hu3;2023-05-25 15:14:09;
hu8;2023-05-25 15:17:37;
hu12;2023-05-25 15:19:18;
hu13;2023-05-25 15:20:39;
hu9;2023-05-25 15:25:20;
hu17;2023-05-28 01:46:10;
hu20;2023-05-29 07:51:17;
hu34;2023-05-29 08:53:09;
hu32;2023-05-29 08:54:59;
hu37;2023-05-29 09:57:10;
hu25;2023-05-29 10:58:42;
hu15;2023-05-29 12:00:31;
hu18;2023-05-29 13:02:46;
hu35;2023-05-29 13:07:54;
hu28;2023-05-29 13:11:38;
hu33;2023-05-29 13:16:23;
hu36;2023-05-29 13:19:36;
hu24;2023-05-29 13:20:59;
hu31;2023-05-29 13:26:49;
hu21;2023-05-29 13:28:36;
hu19;2023-05-29 13:37:10;
hu29;2023-05-29 13:38:20;
hu26;2023-05-29 13:39:08;
hu22;2023-05-29 13:42:24;
hu38;2023-05-29 13:45:38;
hu30;2023-05-29 13:47:12;
hu23;2023-05-29 13:48:08;
hu27;2023-05-29 13:51:49;
hu16;2023-05-29 13:54:49;
hu39;2023-05-29 17:09:25;
hu40;2023-05-29 17:18:36;
hu44;2023-05-29 23:27:23;
hu41;2023-05-30 07:37:19;
hu46;2023-05-30 07:42:05;
hu43;2023-05-30 07:45:09;
hu42;2023-05-30 07:46:48;
hu45;2023-05-30 07:48:54;
hu51;2023-05-30 09:12:34;
hu49;2023-05-30 09:14:13;
hu47;2023-05-30 09:17:33;
hu48;2023-05-30 09:18:44;
hu50;2023-05-30 09:21:21;
hu52;2023-05-30 09:21:55;
hu56;2023-05-30 12:17:00;
hu58;2023-05-30 13:24:30;
hu57;2023-05-30 13:30:08;
hu55;2023-05-30 13:32:49;
hu60;2023-05-30 13:42:43;
hu53;2023-05-30 13:48:15;
hu61;2023-05-30 13:55:37;
hu63;2023-05-30 13:58:32;
hu62;2023-05-30 15:02:01;
hu54;2023-05-30 15:05:12;
hu59;2023-05-30 15:06:35;
hu65;2023-05-30 18:19:10;
hu64;2023-05-30 18:24:15;
hu66;2023-05-30 18:38:08;
hu69;2023-05-30 18:45:22;
hu68;2023-05-30 18:58:41;
hu73;2023-05-31 08:08:12;
hu72;2023-05-31 08:09:34;
hu67;2023-05-31 08:11:39;
hu75;2023-05-31 08:17:53;
hu70;2023-05-31 08:22:24;
hu74;2023-05-31 08:33:03;
hu71;2023-05-31 08:39:19;
hu76;2023-05-31 15:12:07;
hu78;2023-05-31 15:12:55;
hu79;2023-05-31 15:17:27;
hu77;2023-05-31 15:24:43;
hu82;2023-05-31 16:21:40;
hu84;2023-05-31 16:23:18;
hu83;2023-05-31 16:27:22;
hu85;2023-05-31 16:35:08;
hu80;2023-05-31 16:42:31;
hu81;2023-05-31 16:49:22;
hu91;2023-05-31 18:46:09;
hu95;2023-06-01 07:47:16;
hu89;2023-06-01 07:55:38;
hu98;2023-06-01 09:00:03;
hu101;2023-06-01 09:03:26;
hu93;2023-06-01 09:05:35;
hu102;2023-06-01 09:11:17;
hu99;2023-06-01 09:14:59;
hu92;2023-06-01 09:17:49;
hu94;2023-06-01 09:21:15;
hu87;2023-06-01 09:22:12;
hu100;2023-06-01 09:23:38;
hu88;2023-06-01 09:31:27;
hu97;2023-06-01 09:36:21;
hu86;2023-06-01 09:40:00;
hu103;2023-06-01 09:42:31;
hu96;2023-06-01 09:45:55;
hu90;2023-06-01 09:46:50;
hu104;2023-06-01 11:34:00;
hu105;2023-06-01 12:28:15;
hu109;2023-06-01 13:32:52;
hu108;2023-06-01 13:33:46;
hu106;2023-06-01 13:35:21;
hu110;2023-06-01 13:38:11;
hu107;2023-06-01 13:39:05;
hu113;2023-06-01 16:17:03;
hu111;2023-06-01 16:19:44;
hu112;2023-06-01 16:23:13;
hu117;2023-06-01 21:25:57;
hu122;2023-06-02 07:29:04;
hu123;2023-06-02 07:37:34;
hu121;2023-06-02 07:48:34;
hu115;2023-06-02 07:53:30;
hu120;2023-06-02 07:59:59;
hu125;2023-06-02 09:03:28;
hu119;2023-06-02 09:05:33;
hu116;2023-06-02 09:08:44;
hu114;2023-06-02 09:14:28;
hu124;2023-06-02 09:17:50;
hu118;2023-06-02 09:21:56;
hu129;2023-06-02 10:08:58;
hu128;2023-06-02 10:12:52;
hu131;2023-06-02 10:17:11;
hu126;2023-06-02 10:20:21;
hu130;2023-06-02 10:26:38;
hu127;2023-06-02 10:28:13;
hu134;2023-06-02 13:35:59;
hu132;2023-06-02 13:40:30;
hu136;2023-06-02 13:46:44;
hu137;2023-06-02 13:57:31;
hu135;2023-06-02 14:58:34;
hu133;2023-06-02 16:00:38;
hu139;2023-06-02 17:47:49;
hu140;2023-06-02 17:56:34;
hu138;2023-06-02 17:58:53;
hu142;2023-06-02 19:25:51;
hu149;2023-06-05 07:32:11;
hu145;2023-06-05 07:34:32;
hu153;2023-06-05 07:47:39;
hu148;2023-06-05 07:52:41;
hu156;2023-06-05 07:54:17;
hu165;2023-06-05 08:54:42;
hu147;2023-06-05 09:57:56;
hu144;2023-06-05 11:04:24;
