ocel_source_id;ocel_target_id;ocel_qualifier
co1;td1;TD for CO
td1;vh5;Regular VH for TD
cr1;td1;CR for TD
cr2;td1;CR for TD
cr3;td1;CR for TD
cr4;td1;CR for TD
cr5;td1;CR for TD
tr2;cr5;TR loads CR
cr5;hu2;CR contains HU
cr5;hu1;CR contains HU
co3;td2;TD for CO
co2;td3;TD for CO
td2;vh1;High-Prio VH for TD
td2;vh6;Regular VH for TD
cr7;td2;CR for TD
cr6;td2;CR for TD
cr8;td2;CR for TD
cr9;td2;CR for TD
cr10;td2;CR for TD
tr2;cr6;TR loads CR
td3;vh3;Regular VH for TD
cr11;td3;CR for TD
cr12;td3;CR for TD
cr13;td3;CR for TD
cr14;td3;CR for TD
cr6;hu4;CR contains HU
cr6;hu6;CR contains HU
cr6;hu7;CR contains HU
cr6;hu5;CR contains HU
cr6;hu3;CR contains HU
cr6;hu8;CR contains HU
tr4;cr7;TR loads CR
cr7;hu11;CR contains HU
cr7;hu12;CR contains HU
cr7;hu14;CR contains HU
cr7;hu10;CR contains HU
cr7;hu13;CR contains HU
cr7;hu9;CR contains HU
co4;td4;TD for CO
td4;vh4;Regular VH for TD
cr15;td4;CR for TD
cr16;td4;CR for TD
cr17;td4;CR for TD
cr18;td4;CR for TD
tr6;cr16;TR loads CR
tr4;cr12;TR loads CR
tr5;cr13;TR loads CR
tr3;cr9;TR loads CR
cr12;hu34;CR contains HU
cr9;hu17;CR contains HU
cr9;hu20;CR contains HU
co6;td5;TD for CO
cr16;hu32;CR contains HU
td5;vh5;Regular VH for TD
cr12;hu37;CR contains HU
cr13;hu25;CR contains HU
co5;td6;TD for CO
cr19;td5;CR for TD
cr20;td5;CR for TD
cr9;hu15;CR contains HU
cr9;hu18;CR contains HU
cr12;hu35;CR contains HU
cr16;hu28;CR contains HU
td6;vh6;Regular VH for TD
cr12;hu33;CR contains HU
cr12;hu36;CR contains HU
cr13;hu24;CR contains HU
cr16;hu31;CR contains HU
cr13;hu21;CR contains HU
cr9;hu19;CR contains HU
cr16;hu29;CR contains HU
cr13;hu26;CR contains HU
cr13;hu22;CR contains HU
cr12;hu38;CR contains HU
cr16;hu30;CR contains HU
cr13;hu23;CR contains HU
cr16;hu27;CR contains HU
co9;td7;TD for CO
cr9;hu16;CR contains HU
td7;vh7;Regular VH for TD
tr4;cr18;TR loads CR
cr18;hu40;CR contains HU
cr18;hu39;CR contains HU
tr2;cr14;TR loads CR
co11;td8;TD for CO
tr1;cr10;TR loads CR
cr14;hu41;CR contains HU
cr14;hu43;CR contains HU
cr14;hu45;CR contains HU
cr21;td6;CR for TD
cr22;td6;CR for TD
cr23;td6;CR for TD
cr24;td6;CR for TD
cr25;td6;CR for TD
cr14;hu46;CR contains HU
cr14;hu44;CR contains HU
td8;vh2;High-Prio VH for TD
